VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BADALPUR,4,58,1,1153,1,0
BAGANAHA,1171,113,49,1103,39,7
BANIYABHAR,1460,124,2,1965,7,3
BELAWA,1721,171,12,868,456,7
BHIMAPUR,9,88,8,1616,10,6
DAULATPUR,40,149,16,1083,128,0
DEUDAKALA,1516,482,90,1429,251,29
DHADHAWAR,2373,173,21,1144,648,10
DHODHARI,773,116,9,980,2,18
GOLA,3,82,8,1072,0,1
GULARIYA MUNICIPALITY,4792,1533,163,3922,780,30
JAMUNI,1003,213,38,887,449,11
KALIKA,942,437,77,1154,501,20
KHAIRI CHANDANPUR,3,43,14,1084,39,4
MAGARAGADI,1828,373,93,1529,19,27
MAHAMADPUR,872,116,0,660,193,3
MANAU,5,62,1,1099,0,1
MANPUR MAINAPOKHAR,1052,114,56,271,265,9
MANPUR TAPARA,4,71,3,1588,0,4
MOTIPUR,1847,496,321,877,616,21
NAYA GAUN,9,40,0,972,10,1
NEULAPUR,1204,438,181,1098,30,19
PADANAHA,671,57,3,681,53,4
PASUPATINAGAR,11,112,10,1098,2,3
PATABHAR,32,187,48,2291,7,0
RAJAPUR,105,381,50,2098,18,5
SANOSHREE,979,1267,209,1538,123,13
SIVAPUR,293,104,57,759,248,1
SORHAWA,822,118,75,652,1162,5
SURYAPATAWA,428,43,9,1257,19,5
TARATAL,647,224,5,887,16,2
THAKUDWARA,328,208,23,1116,63,0
TOTAL,26947,8193,1652,39931,6155,269
