VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BADALPUR,1471,1548,1008,1030,450,498,13,20
BAGANAHA,2704,3017,2098,2062,596,935,10,20
BANIYABHAR,3862,4383,2839,2936,997,1411,26,36
BELAWA,3416,3740,2541,2448,818,1210,57,82
BHIMAPUR,2270,2453,1598,1560,659,872,13,21
DAULATPUR,1560,1763,1086,1177,459,568,15,18
DEUDAKALA,3952,4632,3071,3229,817,1287,64,116
DHADHAWAR,5008,5554,3718,3846,1259,1667,31,41
DHODHARI,2175,2501,1608,1646,549,822,18,33
GOLA,1492,1616,1159,1140,324,457,9,19
GULARIYA MUNICIPALITY,12491,12705,8370,7843,4035,4771,86,91
JAMUNI,2186,2765,1732,1769,444,980,10,16
KALIKA,2640,2969,2006,1973,625,984,9,12
KHAIRI CHANDANPUR,1588,1703,1161,1170,427,531,0,2
MAGARAGADI,3768,4471,2914,3121,838,1323,16,27
MAHAMADPUR,2639,2757,1692,1592,934,1157,13,8
MANAU,1354,1581,1013,1152,337,423,4,6
MANPUR MAINAPOKHAR,1695,1982,1308,1349,368,568,19,65
MANPUR TAPARA,1907,2181,1460,1480,443,684,4,17
MOTIPUR,4244,4884,3315,3437,856,1339,73,108
NAYA GAUN,1175,1353,826,874,342,470,7,9
NEULAPUR,3114,3418,2504,2478,597,932,13,8
PADANAHA,1754,2060,1327,1419,416,631,11,10
PASUPATINAGAR,1473,1710,1144,1221,325,479,4,10
PATABHAR,3063,3598,2318,2556,733,1035,12,7
RAJAPUR,2666,2805,1840,1902,823,894,3,9
SANOSHREE,3458,4207,2802,2870,640,1307,16,30
SIVAPUR,1645,1897,1319,1376,321,519,5,2
SORHAWA,2945,3272,2146,2119,773,1125,26,28
SURYAPATAWA,2198,2520,1636,1719,539,792,23,9
TARATAL,1665,1985,1289,1318,366,649,10,18
THAKUDWARA,1782,2181,1451,1585,330,591,1,5
INSTITUTIONAL,821,137,163,120,655,15,3,2
