VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BHIYEE,0,0,0,221,1,1
DHAINAKOT,206,0,0,17,200,4
DOLPHU,0,0,0,66,25,0
GUMTHA,9,0,0,412,9,3
HYANGLU,0,0,0,335,0,3
JIMA,2,2,1,487,3,0
KARKIBADA,50,0,1,500,106,5
KIMRI,0,0,0,84,30,0
KOT DANDA,61,52,0,62,126,0
MANGRI,37,1,0,278,136,3
MUGU,0,3,0,137,13,0
NATHARPU,0,0,0,264,12,2
PHOTU,0,0,0,228,17,0
PINA,112,0,0,307,243,10
PULU,45,1,0,161,8,1
RARA,88,0,0,36,117,1
KALAI,102,0,0,82,59,22
ROWA,23,1,0,334,399,3
RUGA,91,2,1,147,467,1
KHAMALE,20,1,0,44,222,5
SERI,287,1,0,54,40,2
SHREEKOT,114,1,0,308,218,3
SHREENAGAR,84,6,0,596,74,12
SUKADHIK,1,3,0,193,205,27
TOTAL,1332,74,3,5353,2730,108
