VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BHIYEE,221,0,0,0,1,0,0,1
DHAINAKOT,289,0,0,1,102,31,0,4
DOLPHU,90,0,0,0,1,0,0,0
GUMTHA,368,0,13,1,8,40,0,3
HYANGLU,299,0,0,0,0,36,0,3
JIMA,413,0,0,1,80,1,0,0
KARKIBADA,420,0,0,7,228,3,0,4
KIMRI,112,0,0,1,0,0,1,0
KOT DANDA,261,0,0,0,36,4,0,0
MANGRI,273,0,0,1,142,36,0,3
MUGU,64,0,0,0,0,89,0,0
NATHARPU,276,0,0,0,0,0,0,2
PHOTU,5,0,0,0,146,94,0,0
PINA,526,0,0,1,134,0,0,11
PULU,142,0,0,0,72,1,0,1
RARA,172,0,0,0,64,5,0,1
KALAI,179,0,1,0,1,62,0,22
ROWA,596,0,1,1,155,4,0,3
RUGA,477,0,0,40,116,75,0,1
KHAMALE,118,0,0,59,109,1,0,5
SERI,270,0,0,0,112,0,0,2
SHREEKOT,634,0,0,0,7,0,0,3
SHREENAGAR,684,0,0,0,78,0,0,10
SUKADHIK,342,0,0,0,60,0,0,27
TOTAL,7231,0,15,113,1652,482,1,106
