VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BHIYEE,222,0,0,0,0,1
DHAINAKOT,421,0,0,0,0,6
DOLPHU,91,0,0,0,0,0
GUMTHA,427,0,0,0,0,6
HYANGLU,335,0,0,0,0,3
JIMA,492,3,0,0,0,0
KARKIBADA,618,5,0,26,0,13
KIMRI,114,0,0,0,0,0
KOT DANDA,301,0,0,0,0,0
MANGRI,388,0,0,0,62,5
MUGU,153,0,0,0,0,0
NATHARPU,275,0,0,0,0,3
PHOTU,245,0,0,0,0,0
PINA,660,3,0,0,0,9
PULU,214,0,0,0,0,2
RARA,240,0,0,0,0,2
KALAI,243,0,0,0,0,22
ROWA,750,0,1,0,0,9
RUGA,708,0,0,0,0,1
KHAMALE,283,0,0,0,1,8
SERI,382,0,0,2,0,0
SHREEKOT,637,4,0,0,0,3
SHREENAGAR,740,17,0,0,0,15
SUKADHIK,402,0,0,0,0,27
TOTAL,9341,32,1,28,63,135
