VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
SHYAMSILA,2179,968,1211,1403,711,692,61,29,32,715,228,487,0,0,0,64.38733363928407,73.4504132231405,57.14285714285714
SIDDHESWOR,2549,1162,1387,1859,958,901,60,31,29,629,173,456,1,0,1,72.93056100431542,82.44406196213426,64.9603460706561
SINDRANG,974,468,506,760,407,353,7,4,3,206,57,149,1,0,1,78.02874743326488,86.96581196581197,69.76284584980237
TAKSAR,3118,1414,1704,2220,1168,1052,13,4,9,883,241,642,2,1,1,71.19948685054523,82.6025459688826,61.737089201877936
THIDINGKHA,1867,900,967,1218,685,533,19,8,11,630,207,423,0,0,0,65.23835029459025,76.11111111111111,55.118924508790066
THULO DUMMA,1886,854,1032,1312,669,643,34,13,21,540,172,368,0,0,0,69.56521739130434,78.33723653395785,62.3062015503876
TIMMA,2327,1115,1212,1716,894,822,63,33,30,548,188,360,0,0,0,73.74301675977654,80.17937219730942,67.82178217821783
TIWARI BHANJYANG,2745,1347,1398,2078,1143,935,30,9,21,637,195,442,0,0,0,75.70127504553734,84.85523385300668,66.88125894134478
TUNGGECHHA,2033,948,1085,1516,800,716,21,10,11,496,138,358,0,0,0,74.56960157402854,84.38818565400844,65.99078341013825
BALANKHA,1543,741,802,893,486,407,15,9,6,635,246,389,0,0,0,57.87427090084252,65.58704453441295,50.748129675810475
YAKU,2547,1140,1407,2101,1022,1079,20,9,11,426,109,317,0,0,0,82.48920298390263,89.64912280701755,76.68798862828714
YANGPANG,2723,1230,1493,1828,934,894,21,7,14,874,289,585,0,0,0,67.13183988248255,75.9349593495935,59.87943737441393
INSTITUTIONAL,1223,1177,46,1195,1159,36,5,4,1,23,14,9,0,0,0,97.71054783319705,98.47068819031436,78.26086956521739
