VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AAMTEP,571,1,0,0,0,0,0,3
ANNAPURNA,323,0,2,1,1,0,0,0
BAIKUNTHE,577,0,0,0,1,0,0,3
BASIKHORA,838,5,1,2,1,1,0,0
WASHINGTHARPU,345,0,0,0,0,0,0,0
BASTEEM,536,3,0,1,1,0,1,1
BHAISIPANKHA,530,3,0,0,0,0,2,0
BHOJPUR,1536,5,380,3,3,3,139,1
YOON,358,1,1,2,0,0,1,0
BHULKE,508,3,0,1,2,0,1,1
BOKHIM,651,6,2,4,1,0,0,0
BOYA,789,0,1,0,1,0,0,0
CHAMPE,596,2,0,1,0,0,0,0
CHANGRE,624,2,0,2,1,0,1,0
CHARAMBI,619,0,0,1,0,0,0,0
CHAUKIDADA,444,9,3,8,1,0,0,1
CHHINAMAKHU,605,2,0,4,0,0,0,0
DALGAUN,583,0,0,2,0,0,0,0
DEURALI,1133,11,7,7,3,0,0,1
DEWANTAR,641,3,0,1,0,0,0,0
DHODLEKHANI,384,3,0,10,2,0,0,1
DOBHANE,957,11,0,7,0,0,0,0
DUMMANA,799,3,0,12,4,0,1,1
GOGANE,465,0,1,1,0,0,0,0
GUPTESHWOR,416,0,0,0,0,0,0,1
HASANPUR,535,1,1,0,0,0,0,0
HELAUCHHA,742,1,0,8,1,0,0,0
HOMTANG,1254,5,2,8,2,0,0,4
JARAYOTAR,771,4,7,0,0,0,0,0
KEEMALUNG,314,4,0,0,0,0,0,0
KEURENIPANI,865,3,3,0,1,1,0,0
KHAIRANG,563,1,0,3,0,0,0,0
KHARTAMCHHA,319,3,0,2,1,0,0,0
KHATAMMA,409,2,0,0,0,0,1,1
KHAWA,444,0,0,2,0,0,0,1
KOT,845,8,1,1,1,0,0,7
KUDAK KAULE,499,4,0,0,0,0,0,2
KULUNG,867,0,1,2,0,0,0,4
LEKHARKA,532,0,0,0,0,0,0,0
MANE BHANJYANG,507,1,0,9,4,0,1,0
MULPANI,813,5,25,0,0,0,0,1
NAGI,255,3,0,4,0,0,0,0
NEPALEDADA,729,14,1,7,16,0,0,2
OKHRE,556,4,0,2,1,0,0,1
PANGCHA,479,0,0,2,1,0,0,1
PATLE PANI,709,4,0,1,0,0,0,0
PAWALA,237,0,0,1,0,0,0,0
PYAULI,538,8,2,4,0,0,1,1
RANIBAS,1205,9,8,3,1,0,0,1
SANGPANG,751,1,1,2,0,0,1,0
SANO DUMMA,495,2,1,0,0,0,0,1
SHYAMSILA,564,2,0,3,4,0,0,1
SIDDHESWOR,590,1,2,2,5,0,0,1
SINDRANG,256,1,1,1,0,0,0,0
TAKSAR,778,0,31,1,10,0,3,1
THIDINGKHA,428,1,0,0,0,0,0,0
THULO DUMMA,473,5,0,3,0,0,0,0
TIMMA,550,1,0,1,0,0,0,0
TIWARI BHANJYANG,544,3,3,2,0,0,0,1
TUNGGECHHA,486,0,0,0,0,0,0,3
BALANKHA,352,1,0,1,0,0,0,0
YAKU,559,1,3,6,1,0,2,1
YANGPANG,650,2,0,2,0,0,0,0
TOTAL,38291,178,491,153,71,5,155,49
