VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AHALE,487,21,160,212,0,5,2
ANKHISALLA,854,29,52,292,0,1,0
ARKHAULE JITPUR,814,5,8,100,0,0,7
BASANTATAR,447,49,36,114,0,0,2
BELHARA,958,91,40,176,0,12,4
BHIRGAUN,889,1,0,82,0,0,3
BODHE,435,17,20,209,2,7,1
CHHA NAMBAR BUDHABARE,387,9,3,47,0,0,0
BUDI MORANG,631,41,58,108,0,4,5
CHANUWA,738,8,6,75,0,1,3
CHHINTANG,1123,16,93,584,0,2,4
CHUNGWANG,794,30,11,120,0,1,2
DANDA BAZAR,516,67,26,48,0,6,1
DANDAGAUN,393,1,8,47,0,0,1
DHANKUTA MUNICIPALITY,4017,2227,281,474,51,107,47
FAKSIB,226,4,19,127,0,0,4
FALATE,500,2,8,69,0,0,3
GHORLIKHARKA,518,2,12,64,0,2,3
HATHIKHARKA,1060,16,5,45,1,3,2
KHOKU,557,8,8,245,4,2,2
KHUWAPHOK,501,14,6,123,0,0,0
KURULE TENUPA,678,9,7,176,0,1,3
LEGUWA,927,15,14,120,0,0,5
MAHABHARAT,691,28,46,170,0,3,5
MAREK KATAHARE,1245,5,11,54,0,16,3
MAUNABUDHUK,391,60,24,107,0,0,2
MUDHEBAS,342,34,126,146,0,2,2
MUGA,699,8,6,88,51,14,3
MURTIDHUNGA,817,7,4,22,0,1,1
PAKHRIBAS,841,121,73,69,1,25,6
PAREWADIN,1231,250,28,56,0,43,3
RAJA RANI,481,40,39,77,0,6,4
SANNE,784,7,1,35,0,1,3
TANKHUWA,859,56,11,55,0,13,5
TELIA,404,7,1,77,0,0,1
VEDETAR,362,95,55,129,1,38,2
TOTAL,27597,3400,1306,4742,111,316,144
