VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AHALE,403,463,3,9,3,1,2,3
ANKHISALLA,891,322,3,7,2,0,0,3
ARKHAULE JITPUR,606,313,5,1,0,0,1,8
BASANTATAR,405,236,2,2,0,0,0,3
BELHARA,630,599,0,44,2,0,0,6
BHIRGAUN,405,560,5,0,3,0,0,2
BODHE,475,209,4,2,0,0,0,1
CHHA NAMBAR BUDHABARE,175,268,1,1,0,0,0,1
BUDI MORANG,457,380,0,3,1,0,1,5
CHANUWA,691,127,8,0,1,0,1,3
CHHINTANG,1336,479,0,1,2,0,1,3
CHUNGWANG,510,439,0,3,4,0,0,2
DANDA BAZAR,259,384,0,20,0,0,0,1
DANDAGAUN,306,127,8,0,0,0,8,1
DHANKUTA MUNICIPALITY,978,4705,27,1380,48,0,14,52
FAKSIB,240,135,0,1,0,0,1,3
FALATE,379,196,5,0,0,0,1,1
GHORLIKHARKA,413,182,2,0,1,0,0,3
HATHIKHARKA,422,698,1,2,1,0,6,2
KHOKU,564,255,2,2,1,0,0,2
KHUWAPHOK,439,202,0,1,1,0,0,1
KURULE TENUPA,731,135,0,0,3,0,0,5
LEGUWA,756,308,11,1,0,0,0,5
MAHABHARAT,668,268,0,0,1,0,1,5
MAREK KATAHARE,701,592,2,3,7,0,24,5
MAUNABUDHUK,277,287,0,18,0,0,0,2
MUDHEBAS,419,219,0,0,9,0,1,4
MUGA,552,310,2,2,0,0,0,3
MURTIDHUNGA,331,502,2,0,2,0,14,1
PAKHRIBAS,221,841,3,54,1,0,9,7
PAREWADIN,386,1021,1,190,1,0,9,3
RAJA RANI,273,344,2,20,1,0,1,6
SANNE,384,442,2,0,0,0,1,2
TANKHUWA,430,523,21,21,0,0,0,4
TELIA,354,130,1,3,0,0,1,1
VEDETAR,235,379,4,51,0,0,11,2
TOTAL,17702,17580,127,1842,95,1,108,161
