VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AHALE,139,725,21,2
ANKHISALLA,537,220,471,0
ARKHAULE JITPUR,182,280,469,3
BASANTATAR,94,152,399,3
BELHARA,415,319,545,2
BHIRGAUN,103,203,667,2
BODHE,249,129,312,1
CHHA NAMBAR BUDHABARE,72,136,238,0
BUDI MORANG,402,125,315,5
CHANUWA,231,145,455,0
CHHINTANG,447,916,456,3
CHUNGWANG,149,172,636,1
DANDA BAZAR,94,313,257,0
DANDAGAUN,64,45,340,1
DHANKUTA MUNICIPALITY,587,4358,2229,30
FAKSIB,229,14,136,1
FALATE,261,73,247,1
GHORLIKHARKA,114,47,440,0
HATHIKHARKA,228,287,615,2
KHOKU,122,53,651,0
KHUWAPHOK,355,103,186,0
KURULE TENUPA,496,68,307,3
LEGUWA,258,237,582,4
MAHABHARAT,659,66,217,1
MAREK KATAHARE,330,289,713,2
MAUNABUDHUK,29,139,416,0
MUDHEBAS,182,49,420,1
MUGA,286,54,527,2
MURTIDHUNGA,103,261,486,2
PAKHRIBAS,95,469,568,4
PAREWADIN,242,469,895,5
RAJA RANI,72,175,398,2
SANNE,82,177,571,1
TANKHUWA,261,167,567,4
TELIA,229,53,208,0
VEDETAR,170,265,245,2
TOTAL,8568,11753,17205,90
