VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AHALE,875,5,1,1,0,3,0,2
ANKHISALLA,1199,2,24,0,1,0,2,0
ARKHAULE JITPUR,918,2,11,0,0,0,0,3
BASANTATAR,635,0,6,2,0,0,2,3
BELHARA,1195,1,75,0,4,0,3,3
BHIRGAUN,959,2,0,1,11,0,0,2
BODHE,681,3,3,2,0,0,0,2
CHHA NAMBAR BUDHABARE,425,1,16,0,0,0,4,0
BUDI MORANG,804,2,26,1,2,3,4,5
CHANUWA,827,2,0,1,0,1,0,0
CHHINTANG,1810,2,7,0,0,0,0,3
CHUNGWANG,950,0,7,0,0,0,0,1
DANDA BAZAR,610,0,46,0,2,1,5,0
DANDAGAUN,449,0,0,0,0,0,0,1
DHANKUTA MUNICIPALITY,3257,168,3628,10,48,18,47,28
FAKSIB,377,1,1,0,0,0,0,1
FALATE,578,0,1,1,0,0,1,1
GHORLIKHARKA,594,0,6,0,1,0,0,0
HATHIKHARKA,1117,2,8,0,2,1,0,2
KHOKU,813,5,5,0,0,3,0,0
KHUWAPHOK,632,2,7,0,0,0,3,0
KURULE TENUPA,857,3,2,6,0,1,2,3
LEGUWA,1017,1,59,0,0,0,0,4
MAHABHARAT,934,0,8,0,0,0,0,1
MAREK KATAHARE,1325,1,3,1,0,2,0,2
MAUNABUDHUK,558,0,22,0,0,0,4,0
MUDHEBAS,636,0,10,2,0,0,3,1
MUGA,858,4,4,0,1,0,0,2
MURTIDHUNGA,825,2,10,0,9,0,4,2
PAKHRIBAS,960,4,157,2,1,1,7,4
PAREWADIN,1336,2,265,0,2,0,2,4
RAJA RANI,595,2,47,0,0,0,1,2
SANNE,822,1,2,0,4,0,1,1
TANKHUWA,952,1,37,1,1,1,2,4
TELIA,483,1,6,0,0,0,0,0
VEDETAR,587,4,80,0,0,2,6,3
TOTAL,32450,226,4590,31,89,37,103,90
