VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AHALE,757,846,586,590,166,252,5,4
ANKHISALLA,965,1115,770,852,193,257,2,6
ARKHAULE JITPUR,670,788,541,551,128,233,1,4
BASANTATAR,520,616,345,360,172,252,3,4
BELHARA,1091,1186,799,787,288,389,4,10
BHIRGAUN,776,915,609,634,164,278,3,3
BODHE,576,641,422,442,153,197,1,2
CHHA NAMBAR BUDHABARE,332,368,251,266,81,101,0,1
BUDI MORANG,676,788,469,521,202,252,5,15
CHANUWA,696,854,541,574,154,277,1,3
CHHINTANG,1856,1948,1451,1402,397,532,8,14
CHUNGWANG,695,815,557,591,134,215,4,9
DANDA BAZAR,500,541,402,389,97,147,1,5
DANDAGAUN,381,486,312,369,68,117,1,0
DHANKUTA MUNICIPALITY,4266,4715,3398,3421,798,1224,70,70
FAKSIB,346,321,284,225,59,89,3,7
FALATE,522,567,389,369,133,198,0,0
GHORLIKHARKA,520,524,400,355,118,162,2,7
HATHIKHARKA,945,1073,704,725,236,341,5,7
KHOKU,736,783,595,603,140,179,1,1
KHUWAPHOK,430,517,302,323,126,192,2,2
KURULE TENUPA,770,849,574,553,193,292,3,4
LEGUWA,848,956,658,681,184,271,6,4
MAHABHARAT,761,858,574,585,185,273,2,0
MAREK KATAHARE,1179,1394,914,996,257,390,8,8
MAUNABUDHUK,440,543,340,391,98,149,2,3
MUDHEBAS,530,583,430,431,99,151,1,1
MUGA,790,921,580,587,205,315,5,19
MURTIDHUNGA,766,853,631,655,133,194,2,4
PAKHRIBAS,823,973,650,696,166,265,7,12
PAREWADIN,1351,1485,1063,1079,262,385,26,21
RAJA RANI,515,538,394,394,117,142,4,2
SANNE,698,829,549,576,144,247,5,6
TANKHUWA,751,918,559,643,187,268,5,7
TELIA,400,490,324,354,72,129,4,7
VEDETAR,536,604,393,426,134,175,9,3
INSTITUTIONAL,511,95,128,82,383,13,0,0
