VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ANDUPATTI,661,0,0,0
AURAHI,959,1,0,1
BAFAI,550,0,0,1
BAGHCHAURA,1069,0,0,0
BAHEDA BELA,1129,0,0,2
BAHUARBA,882,1,0,0
BALABAKHAR,1386,0,1,0
BALAHA KATHAL,653,0,0,0
BALAHA SADHARA,695,0,1,2
BALLAGOTH,672,1,0,0
BANINIYA,692,0,0,1
BARAMAJHIYA,1167,5,0,0
BASAHIYA,1198,15,0,0
BASBITTI,535,1,0,0
BATESWOR,1100,9,0,42
BEGA SHIVAPUR,1357,46,0,0
BEGADAWAR,2209,51,6,15
BHARATPUR,2926,47,1,47
BHUCHAKRAPUR,938,3,0,1
BHUTAHIPATERWA,892,0,1,2
BINDHI,1148,17,5,22
BISARMORA,924,1,0,3
CHAKKAR,1077,1,0,0
CHORA KOILPUR,848,0,2,4
DHANUSHA GOVINDAPUR,1611,0,0,46
DEBADIHA,1211,0,0,3
DEURI PARBAHA,834,1,0,1
DEVPURA RUPETHA,1429,4,0,1
DHABOULI,1314,2,0,1
DHALKEBAR,1893,79,34,16
DHANAUJI,1512,2,1,0
DHANUSADHAM,1579,18,2,37
DIGAMBARPUR,1723,0,0,6
DUBARIKOT HATHILETWA,1277,2,2,9
DUHABI,1297,3,0,0
EKARAHI,905,0,0,1
FULGAMA,2190,1,1,1
GHODGHANS,1120,0,0,2
GODAR,1591,8,2,8
GOPALPUR,1012,1,2,2
GOTH KOHELPUR,711,1,2,10
HANSAPUR KATHPULA,873,1,3,1
HARIHARPUR,1545,12,0,5
HARINE,930,2,2,5
HATHIPURHARBARA,751,1,0,2
INARWA,628,0,0,5
ITAHARWA,837,0,0,1
JANAKPUR MUNICIPALITY,14327,4363,340,153
JHATIYAHI,1066,2,0,0
JHOJI KATAIYA,739,2,0,0
KACHURI THERA,1015,1,45,2
KAJARA RAMAUL,952,1,0,0
KANAKPATTI,962,4,0,0
KHAJURI CHANHA,1054,5,3,1
KHARIYANI,1832,2,0,3
KURTHA,1330,12,1,7
LABATOLI,901,3,4,0
LAGMAGADHAGUTHI,923,0,0,1
LAKHOURI,571,0,2,5
LAKKAD,744,3,1,0
LAXMINIWAS,591,0,0,12
LAXMIPURBAGEWA,1224,5,3,1
LOHANA,1182,0,0,0
MAHUWA (PRA. KHE.),810,1,2,0
MAHUWA (PRA. KO.),1046,4,0,6
MAKHANAHA,1423,1,0,1
MANSHINGPATTI,798,2,0,4
MACHIJHITKAIYA,1734,2,0,2
MITHILESHWOR MAUWAHI,732,1,1,4
MITHILESHWOR NIKAS,1206,5,1,0
MUKHIYAPATTI MUSAHARNIYA,1143,0,0,0
NAGARAEEN,1014,9,0,2
NAKATAJHIJH,1356,10,18,80
NANUPATTI,644,1,0,32
NAUWAKHOR PRASHAHI,841,0,1,0
PACHAHARWA,648,0,8,0
PATANUKA,624,0,1,1
PATERWA,828,1,0,0
PAUDESWOR,1118,0,5,5
PUSPALPUR,515,7,0,2
RAGHUNATHPUR,2719,10,1,2
RAMADAIYA BHAWADI,1177,2,7,3
SABELA,1603,13,0,2
SAKHUWA MAHENDRANAGAR,3038,399,1,7
SAPAHI,1408,5,96,3
SATOSAR,1085,1,0,0
SHANTIPUR,942,1,2,30
GIDDHA,923,0,0,4
SINGYAHI MAIDAN,1581,4,1,0
SINURJODA,1549,5,1,2
SONIGAMA,1215,6,1,21
SUGA MADHUKARAHI,764,1,1,1
SUGA NIKASH,709,5,0,18
TARAPATTI SIRSIYA,1382,1,3,1
THADI JHIJA,1294,0,1,0
THILLA YADUWA,691,2,0,8
TULSI CHAUDA,1017,3,0,4
TULSIYAHI NIKAS,787,3,1,3
TULSIYANI JABDI,948,1,0,0
UMAPREMPUR,2067,0,0,107
YADUKUSH,1137,8,0,0
YAGYABHUMI,3049,57,2,28
TOTAL,131418,5311,622,874
