VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ANDUPATTI,3,122,3,524,0,9
AURAHI,82,260,1,602,4,12
BAFAI,9,130,53,349,0,10
BAGHCHAURA,72,224,28,714,10,21
BAHEDA BELA,27,139,16,914,2,33
BAHUARBA,158,313,36,305,64,7
BALABAKHAR,10,115,21,1224,1,16
BALAHA KATHAL,19,131,18,460,1,24
BALAHA SADHARA,15,109,30,535,0,9
BALLAGOTH,13,180,10,446,2,22
BANINIYA,52,135,16,485,1,4
BARAMAJHIYA,6,116,40,1002,2,6
BASAHIYA,103,549,53,486,13,9
BASBITTI,98,194,4,234,4,2
BATESWOR,23,217,15,863,4,29
BEGA SHIVAPUR,86,558,90,644,2,23
BEGADAWAR,14,436,166,1630,1,34
BHARATPUR,266,396,7,2266,1,85
BHUCHAKRAPUR,24,160,5,735,2,16
BHUTAHIPATERWA,19,148,6,714,1,7
BINDHI,148,434,117,382,104,7
BISARMORA,4,110,15,783,7,9
CHAKKAR,177,251,67,554,0,29
CHORA KOILPUR,5,96,25,710,8,10
DHANUSHA GOVINDAPUR,160,184,9,1285,0,19
DEBADIHA,138,252,15,699,67,43
DEURI PARBAHA,39,184,40,563,1,9
DEVPURA RUPETHA,237,573,70,522,4,28
DHABOULI,14,239,29,990,0,45
DHALKEBAR,18,278,136,1567,1,22
DHANAUJI,112,336,1,1032,1,33
DHANUSADHAM,7,128,8,1386,1,106
DIGAMBARPUR,25,143,25,1515,1,20
DUBARIKOT HATHILETWA,22,157,13,1067,1,30
DUHABI,443,301,66,331,14,145
EKARAHI,11,210,19,660,3,3
FULGAMA,228,429,50,1477,0,9
GHODGHANS,218,293,11,465,129,6
GODAR,3,119,8,1462,0,17
GOPALPUR,26,186,64,725,2,14
GOTH KOHELPUR,162,73,0,419,0,70
HANSAPUR KATHPULA,15,163,11,524,156,9
HARIHARPUR,97,331,21,857,238,18
HARINE,19,80,10,794,1,35
HATHIPURHARBARA,7,114,27,596,1,9
INARWA,3,72,9,525,7,17
ITAHARWA,31,163,3,627,0,14
JANAKPUR MUNICIPALITY,1281,13611,2074,1748,45,424
JHATIYAHI,89,137,7,799,4,32
JHOJI KATAIYA,35,125,40,502,0,39
KACHURI THERA,206,345,5,497,0,10
KAJARA RAMAUL,35,155,33,714,5,11
KANAKPATTI,88,404,31,437,1,5
KHAJURI CHANHA,55,256,39,706,1,6
KHARIYANI,24,251,5,1504,9,44
KURTHA,33,465,33,803,1,15
LABATOLI,25,79,23,767,0,14
LAGMAGADHAGUTHI,160,328,33,391,2,10
LAKHOURI,48,142,2,352,3,31
LAKKAD,9,63,1,647,0,28
LAXMINIWAS,12,148,1,423,0,19
LAXMIPURBAGEWA,40,466,35,688,0,4
LOHANA,57,437,21,582,2,83
MAHUWA (PRA. KHE.),193,147,2,450,13,8
MAHUWA (PRA. KO.),29,333,59,625,1,9
MAKHANAHA,138,189,10,1055,0,33
MANSHINGPATTI,150,216,11,414,0,13
MACHIJHITKAIYA,45,295,23,1337,1,37
MITHILESHWOR MAUWAHI,18,159,18,524,0,19
MITHILESHWOR NIKAS,7,149,13,964,4,75
MUKHIYAPATTI MUSAHARNIYA,171,179,20,747,0,26
NAGARAEEN,60,256,62,605,1,41
NAKATAJHIJH,218,371,32,816,1,26
NANUPATTI,27,90,25,511,10,14
NAUWAKHOR PRASHAHI,28,247,4,505,0,58
PACHAHARWA,7,48,32,522,40,7
PATANUKA,95,150,67,298,0,16
PATERWA,13,81,51,649,0,35
PAUDESWOR,8,326,0,788,0,6
PUSPALPUR,0,28,4,488,1,3
RAGHUNATHPUR,14,279,71,2337,5,26
RAMADAIYA BHAWADI,200,176,39,757,1,16
SABELA,13,472,92,1027,0,14
SAKHUWA MAHENDRANAGAR,153,1565,119,1473,83,52
SAPAHI,52,295,96,1019,23,27
SATOSAR,6,202,54,593,118,113
SHANTIPUR,48,115,1,798,0,13
GIDDHA,88,196,17,598,0,28
SINGYAHI MAIDAN,7,160,3,1400,10,6
SINURJODA,346,578,12,581,1,39
SONIGAMA,30,188,13,1010,0,2
SUGA MADHUKARAHI,40,202,28,474,3,20
SUGA NIKASH,35,165,18,508,0,6
TARAPATTI SIRSIYA,58,242,31,957,8,91
THADI JHIJA,167,260,41,807,0,20
THILLA YADUWA,4,121,105,439,0,32
TULSI CHAUDA,20,43,7,939,1,14
TULSIYAHI NIKAS,123,264,0,396,8,3
TULSIYANI JABDI,113,357,1,473,0,5
UMAPREMPUR,33,300,18,1776,5,42
YADUKUSH,24,379,81,658,0,3
YAGYABHUMI,339,440,26,2297,2,32
TOTAL,8785,38206,5176,81824,1275,2959
