VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BALIYA,818,2636,3510,1273,25,233,78
BASAUTI,52,46,115,694,3,128,14
BELADEVIPUR,62,168,1439,230,0,5,8
BHAJANI,328,303,95,1384,11,356,30
BONIYA,173,341,175,1566,7,185,10
CHUHA,415,773,1813,323,6,301,16
CHAUMALA,266,776,4041,146,2,22,40
DHANSINGHAPUR,224,108,173,834,2,160,39
DARAKH,419,686,1172,480,8,366,22
DHANGADHI MUNICIPALITY,3248,12508,2973,1736,70,350,145
DODODHARA,70,785,1609,407,5,690,22
DURGAULI,622,424,361,664,135,415,5
GADARIYA,102,62,529,715,3,219,27
GETA,538,2041,564,469,26,41,41
GODAWARI,1982,219,599,61,1,25,19
HASULIYA,334,158,507,1299,1,83,3
JANAKINAGAR,192,103,75,358,7,257,0
JOSHIPUR,460,300,37,2442,8,660,28
KHAILAD,63,46,1004,442,1,475,12
KHAIRALA,457,7,313,7,0,3,9
KOTA TULSIPUR,77,351,637,1038,2,4,6
LALBOJHI,84,191,58,778,6,686,15
MALAKHETI,586,2186,1779,124,9,76,43
MASURIYA,144,383,2949,188,7,138,19
MOHANYAL,338,2,413,7,0,3,8
MUNUWA,684,87,31,325,209,640,14
NARAYANPUR,352,232,262,624,22,671,23
NIGALI,840,21,113,53,0,2,1
PAHALMANPUR,79,321,1473,109,10,554,41
PANDAUN,244,2,302,31,0,1,3
PATHARIYA,393,383,1751,522,5,368,21
PAWERA,30,129,23,790,1,1,6
PHULWARI,505,494,1782,948,20,85,10
PRATAPAPUR,281,358,297,1396,52,141,12
RAMSIKHAR JHALA,139,112,2613,69,3,207,13
RATANPUR,26,49,191,428,2,476,15
SADEPANI,101,535,2870,584,11,150,27
SAHAJPUR,960,48,382,137,0,0,9
SREEPUR,558,744,1648,155,2,162,41
SUGARKHAL,476,11,2060,4,2,44,18
THAPAPUR,515,128,22,696,32,950,6
TIKAPUR MUNICIPALITY,3047,3984,441,2635,489,963,71
UDASIPUR,27,39,781,611,1,30,3
URMA,57,202,1629,562,2,67,14
TOTAL,21368,33482,45611,28344,1208,11393,1007
