VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AMBEGUDIN,597,640,495,502,99,130,3,8
ANGKHOP,491,528,387,390,101,132,3,6
CHAKSIBOTE,183,209,141,155,41,54,1,0
CHANGE,842,891,614,598,223,289,5,4
DHUNGESANGHU,753,870,560,631,190,236,3,3
DOKHU,808,808,618,563,188,240,2,5
DUMMRISE,317,332,247,238,70,90,0,4
EKHABU,457,501,358,382,97,117,2,2
HANGDEWA,725,809,544,587,179,222,2,0
HANGPANG,710,845,531,585,174,252,5,8
KALIKHOLA,125,150,84,79,41,70,0,1
KHAMLUNG,320,338,228,237,92,101,0,0
KHEJENIM,553,560,397,404,144,146,12,10
KHEWANG,597,628,469,455,128,172,0,1
KHOKLING,743,736,596,545,135,176,12,15
LELEP,461,498,320,362,85,78,56,58
LIMBUDIN,385,433,300,331,81,95,4,7
LINGTEP,348,391,262,297,85,90,1,4
LINKHIM,492,524,399,390,93,131,0,3
LIWANG,376,443,290,311,86,132,0,0
MAMANGKHE,218,264,167,188,47,72,4,4
MEHELE,492,525,387,403,100,118,5,4
NALBU,434,483,300,311,131,170,3,2
NANGKHOLYANG,787,906,601,620,172,267,14,19
NIDHURADIN,507,629,369,457,134,165,4,7
OLANGCHUNG GOLA,39,32,17,10,17,16,5,6
PAPUNG,367,398,229,237,111,134,27,27
PEDANG,383,389,281,273,101,115,1,1
PHAKUMBA,776,852,542,546,207,270,27,36
PHAWAKHOLA,237,294,169,214,68,80,0,0
PHULBARI,700,797,544,572,155,222,1,3
PHUNGLING,2814,2971,2398,2314,405,632,11,25
PHURUMBU,509,578,366,373,141,204,2,1
SADEWA,221,261,161,179,58,80,2,2
SANGHU,847,895,597,570,247,323,3,2
SANTHAKRA,534,669,388,457,144,210,2,2
SANWA,478,627,363,440,110,173,5,14
SAWANDIN,314,368,244,263,67,104,3,1
SABLAKHU,405,462,320,365,85,95,0,2
SIKAICHA,432,496,324,365,108,131,0,0
SINAM,403,464,317,341,86,123,0,0
SURUMKHIM,387,417,299,296,87,118,1,3
TAPETHOK,314,363,157,180,81,81,76,102
TELLOK,431,517,341,392,87,122,3,3
THECHAMBU,671,789,520,585,150,201,1,3
THINGLABU,529,606,407,434,120,170,2,2
THUKIMMA,536,637,436,505,89,123,11,9
THUMBEDIN,423,486,325,327,94,153,4,6
TIRINGE,373,401,295,316,78,85,0,0
