VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
SANTHAKRA,142,68,74,769,372,397,248,134,114,92,47,45,84,45,39,17,9,8,8,7,1,2,2,0,0,0,0,42,31,11,2,1,1
SANWA,21,13,8,693,354,339,356,148,208,172,86,86,86,46,40,34,29,5,1,1,0,2,2,0,0,0,0,57,35,22,1,1,0
SAWANDIN,17,5,12,463,253,210,169,74,95,79,49,30,81,39,42,24,12,12,5,3,2,1,0,1,1,1,0,43,19,24,0,0,0
SABLAKHU,33,16,17,632,336,296,355,165,190,133,65,68,172,88,84,37,23,14,25,22,3,2,2,0,0,0,0,54,37,17,3,1,2
SIKAICHA,33,17,16,707,357,350,357,177,180,132,67,65,183,88,95,49,24,25,10,8,2,3,2,1,0,0,0,63,24,39,0,0,0
SINAM,115,57,58,563,273,290,304,159,145,239,120,119,123,69,54,55,27,28,20,11,9,14,12,2,1,0,1,32,16,16,0,0,0
SURUMKHIM,103,39,64,598,334,264,261,130,131,76,42,34,86,45,41,40,19,21,5,4,1,0,0,0,0,0,0,29,13,16,4,2,2
TAPETHOK,21,11,10,440,221,219,171,77,94,60,32,28,63,44,19,12,7,5,1,1,0,0,0,0,0,0,0,23,14,9,19,11,8
TELLOK,29,9,20,718,352,366,350,174,176,168,95,73,166,77,89,45,27,18,12,10,2,3,2,1,0,0,0,45,20,25,1,0,1
THECHAMBU,47,25,22,1060,566,494,567,246,321,395,181,214,185,86,99,77,43,34,24,19,5,3,3,0,0,0,0,111,58,53,3,1,2
THINGLABU,98,55,43,712,375,337,295,143,152,120,55,65,64,33,31,25,19,6,6,6,0,0,0,0,0,0,0,35,28,7,2,1,1
THUKIMMA,54,27,27,705,360,345,362,171,191,153,66,87,126,61,65,34,20,14,8,3,5,3,2,1,0,0,0,103,66,37,22,14,8
THUMBEDIN,74,41,33,610,337,273,330,158,172,211,107,104,190,97,93,40,23,17,22,20,2,2,2,0,0,0,0,21,18,3,8,7,1
TIRINGE,63,32,31,531,291,240,263,116,147,123,67,56,104,58,46,20,9,11,8,6,2,1,1,0,0,0,0,30,16,14,0,0,0
YAMFUDIN,6,3,3,208,100,108,102,51,51,52,31,21,62,43,19,18,15,3,6,4,2,1,1,0,0,0,0,15,9,6,1,1,0
INSTITUTIONAL,16,11,1,179,142,476,237,221,319,209,201,144,265,254,152,69,62,72,19,17,34,1,1,12,0,0,2,3,3,1,0,0,1
INSTITUTIONAL,9,8,1,110,95,15,215,206,9,162,158,4,149,144,5,67,62,5,44,44,0,4,4,0,1,1,0,3,2,1,1,1,0
