VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BHIJER,82,98,38,21,43,70,1,7
CHHARKA,160,195,82,63,77,131,1,1
DHO,192,242,102,102,84,127,6,13
DUNAI,405,527,297,351,99,150,9,26
JUFAL,470,520,332,304,128,196,10,20
KAIGAUN,154,183,119,125,29,46,6,12
KALIKA,278,297,214,189,60,105,4,3
LAWAN,303,398,194,209,109,189,0,0
LHNA,279,290,213,186,66,103,0,1
LIKHU,459,539,359,323,100,216,0,0
MAJHFAL,584,619,459,391,89,206,36,22
MUKOT,121,179,54,56,37,77,30,46
NARKU,321,345,254,215,59,118,8,12
PAHADA,440,507,239,240,112,149,89,118
PHOKSUNDO,102,101,68,66,23,28,11,7
RAHA,223,223,154,132,45,51,24,40
RIMI,280,362,214,238,66,122,0,2
SAHARTARA,372,464,222,236,139,220,11,8
SALDANG,445,486,136,89,289,392,20,5
SARMI,468,544,340,342,120,194,8,8
SUNHOO,360,471,276,254,72,183,12,34
TINJE,223,300,102,90,117,197,4,13
TRIPURAKOT,567,640,417,371,100,177,50,92
INSTITUTIONAL,115,7,2,7,113,0,0,0
