VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BHIJER,93,0,0,0,0,0,0
CHHARKA,118,0,0,0,0,0,1
DHO,210,0,0,0,0,0,2
DUNAI,632,13,21,0,0,0,6
JUFAL,517,1,1,0,0,2,1
KAIGAUN,177,0,0,0,0,0,0
KALIKA,234,0,0,0,0,0,2
LAWAN,344,0,0,0,0,0,6
LHNA,198,0,5,1,1,0,0
LIKHU,412,1,0,0,0,0,2
MAJHFAL,515,0,1,0,0,2,1
MUKOT,162,0,0,0,0,0,1
NARKU,286,0,1,0,0,0,1
PAHADA,432,3,0,0,0,0,5
PHOKSUNDO,112,0,0,0,0,2,1
RAHA,189,0,0,0,0,0,1
RIMI,256,0,0,0,0,0,0
SAHARTARA,425,0,0,0,0,0,5
SALDANG,376,0,1,0,0,0,145
SARMI,400,0,1,0,0,0,1
SUNHOO,362,0,1,0,0,0,0
TINJE,249,0,0,0,0,5,2
TRIPURAKOT,516,0,1,0,0,1,3
TOTAL,7215,18,33,1,1,12,186
