VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,117962,637328,310101,327227,5.402824638442889,94.76632429475563
ARNAMALALPUR,1731,9241,4444,4797,5.338532640092432,92.64123410464875
ARNAMARAMPUR,713,3529,1565,1964,4.949509116409537,79.68431771894093
ASANPUR,2510,12926,6477,6449,5.149800796812749,100.4341758412157
ASHOKPUR BALKAWA,930,5127,2461,2666,5.512903225806451,92.31057764441111
AURAHI,1010,5685,2789,2896,5.628712871287129,96.30524861878453
AYODHYANAGAR,842,4433,2244,2189,5.264845605700713,102.51256281407035
BADHARAMAL,3346,16482,7945,8537,4.925881649731022,93.06547967670141
BARCHHAWA,737,3701,1721,1980,5.021709633649932,86.91919191919192
BARIYARPATTI,906,5129,2535,2594,5.661147902869757,97.72552043176562
BASTIPUR,1158,6361,3128,3233,5.493091537132988,96.75224249922672
BELAHA,1036,6240,2850,3390,6.023166023166024,84.070796460177
BELHI,824,4014,1885,2129,4.871359223300971,88.53922029121654
BETAUNA,992,5077,2398,2679,5.117943548387097,89.51101157148189
BHADAIYA,1017,5739,2730,3009,5.64306784660767,90.72781655034895
BHAGWANPUR,735,4157,2044,2113,5.65578231292517,96.73450070989115
BHAGAWATIPUR,865,4495,2053,2442,5.196531791907514,84.07043407043408
BHAWANIPUR,1092,5497,2626,2871,5.033882783882784,91.46638801811216
BHAWANPUR KALABANZAR,740,3796,1838,1958,5.129729729729729,93.87129724208376
BHOKRAHA,341,1757,813,944,5.152492668621701,86.12288135593221
BISHNUPUR PRA.MA.,951,5208,2499,2709,5.476340694006309,92.24806201550388
BISHNUPUR PRA.RA,1020,5020,2287,2733,4.921568627450981,83.68093669959751
BISHNUPURKATTI,2185,11554,5717,5837,5.2878718535469105,97.94414939181087
BRAHMAGAUGHADI,676,3470,1709,1761,5.133136094674557,97.04713231118683
CHANDRA AYODHYAPUR,1307,7211,3459,3752,5.517214996174445,92.1908315565032
CHANDRALALPUR,1093,5628,2735,2893,5.149130832570906,94.53854130660214
CHANDRODAYAPUR,1123,5932,2855,3077,5.282279608192342,92.78518037049074
CHATARI,485,2711,1200,1511,5.589690721649484,79.41760423560555
CHIKANA,723,3640,1717,1923,5.0345781466113415,89.28757150286012
DEVIPUR,761,3981,1880,2101,5.231274638633377,89.48119942884341
DHANGADI,2068,11262,5565,5697,5.445841392649903,97.68299104791996
DHODHANA,979,4881,2370,2511,4.985699693564862,94.38470728793308
DUMARI,739,3852,1934,1918,5.2124492557510145,100.83420229405631
DURGAPUR,879,4374,2041,2333,4.976109215017065,87.48392627518217
FULBARIYA,1942,10170,5005,5165,5.23686920700309,96.90222652468539
FULKAHA KATI,1795,10302,5081,5221,5.739275766016713,97.31852135606206
GADHA,878,4788,2288,2500,5.453302961275626,91.52
GAURIPUR,520,3029,1433,1596,5.825,89.78696741854637
GAUTARI,722,3689,1686,2003,5.109418282548477,84.17373939091362
GOVINDAPUR MALAHANAMA,1320,7289,3668,3621,5.5219696969696965,101.29798398232532
GOVINDPUR TAREGANA,1050,5594,2710,2884,5.327619047619048,93.96671289875174
HAKPARA,817,4325,1989,2336,5.293757649938801,85.14554794520548
HANUMANNAGAR,1254,6544,2943,3601,5.218500797448166,81.72729797278534
HANUMANNAGAR (PRA.DHA.),775,4401,2197,2204,5.678709677419355,99.68239564428312
HARAKATTI,570,3055,1481,1574,5.359649122807017,94.09148665819568
INARWA,1951,11324,5639,5685,5.804202972834444,99.19085312225154
ITARHAWA,759,4131,1944,2187,5.442687747035573,88.88888888888889
