VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ARNAMALALPUR,126,78,48,1640,874,766,842,482,360,468,311,157,383,227,156,207,164,43,81,70,11,13,11,2,5,5,0,121,80,41,7,5,2
ARNAMARAMPUR,93,62,31,755,369,386,262,155,107,131,76,55,106,68,38,95,60,35,19,16,3,6,6,0,1,1,0,12,4,8,2,1,1
ASANPUR,208,124,84,2667,1423,1244,1422,761,661,999,560,439,930,550,380,653,433,220,239,190,49,95,80,15,6,4,2,155,66,89,29,14,15
ASHOKPUR BALKAWA,126,55,71,954,518,436,513,281,232,285,175,110,157,103,54,80,59,21,18,13,5,5,4,1,5,1,4,26,17,9,5,1,4
AURAHI,64,31,33,1159,633,526,518,337,181,209,154,55,258,184,74,147,120,27,83,67,16,15,9,6,3,2,1,21,4,17,24,13,11
AYODHYANAGAR,72,41,31,971,542,429,483,292,191,176,100,76,190,126,64,115,82,33,40,34,6,5,5,0,6,4,2,52,28,24,18,11,7
BADHARAMAL,188,109,79,3332,1833,1499,1598,857,741,1074,635,439,815,486,329,410,250,160,109,76,33,39,32,7,6,4,2,221,131,90,43,20,23
BARCHHAWA,18,10,8,543,299,244,284,150,134,152,98,54,97,61,36,85,51,34,50,42,8,13,13,0,1,1,0,23,12,11,14,8,6
BARIYARPATTI,155,81,74,972,547,425,424,288,136,263,187,76,226,154,72,81,68,13,22,21,1,7,6,1,4,3,1,16,12,4,3,2,1
BASTIPUR,117,59,58,1439,785,654,659,394,265,297,198,99,337,221,116,139,107,32,38,33,5,7,7,0,1,1,0,17,8,9,14,7,7
