VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ARNAMALALPUR,52,257,37,1002,366,17
ARNAMARAMPUR,8,175,34,493,3,0
ASANPUR,147,1166,274,860,52,11
ASHOKPUR BALKAWA,64,237,2,526,91,10
AURAHI,59,138,23,770,7,13
AYODHYANAGAR,41,136,27,635,1,2
BADHARAMAL,114,492,88,2626,3,23
BARCHHAWA,6,99,22,600,0,10
BARIYARPATTI,24,124,37,624,96,1
BASTIPUR,17,218,8,909,1,5
BELAHA,50,355,184,438,2,7
BELHI,3,222,7,591,0,1
BETAUNA,3,258,48,655,18,10
BHADAIYA,6,71,13,924,1,2
BHAGWANPUR,26,104,14,558,24,9
BHAGAWATIPUR,102,362,1,395,1,4
BHAWANIPUR,6,249,25,809,1,2
BHAWANPUR KALABANZAR,10,154,20,554,0,2
BHOKRAHA,1,82,5,250,0,3
BISHNUPUR PRA.MA.,11,186,67,594,86,7
BISHNUPUR PRA.RA,1,162,23,804,30,0
BISHNUPURKATTI,198,147,7,1792,2,39
BRAHMAGAUGHADI,16,143,17,492,0,8
CHANDRA AYODHYAPUR,29,198,2,1014,53,11
CHANDRALALPUR,82,321,6,660,3,21
CHANDRODAYAPUR,37,154,6,922,0,4
CHATARI,2,199,1,220,61,2
CHIKANA,2,138,0,547,1,35
DEVIPUR,3,119,6,618,5,10
DHANGADI,330,589,14,1095,2,38
DHODHANA,8,38,4,927,1,1
DUMARI,9,134,44,528,0,24
DURGAPUR,16,269,8,462,116,8
FULBARIYA,36,339,71,1487,0,9
FULKAHA KATI,30,160,25,1554,3,23
GADHA,27,123,3,685,37,3
GAURIPUR,6,28,26,447,0,13
GAUTARI,4,166,0,547,0,5
GOVINDAPUR MALAHANAMA,103,277,11,924,0,5
GOVINDPUR TAREGANA,10,38,4,945,0,53
HAKPARA,24,212,0,571,0,10
HANUMANNAGAR,35,205,6,979,16,13
HANUMANNAGAR (PRA.DHA.),16,220,5,356,0,178
HARAKATTI,5,68,0,494,0,3
INARWA,223,322,25,1300,53,28
ITARHAWA,13,127,2,614,0,3
ITARI PARSAHI,4,113,112,642,0,2
ITATAR,16,108,3,494,0,213
JAMADAHA,70,166,7,858,8,9
JANAKINAGAR,88,129,0,486,24,5
JIGHAUL,59,131,4,646,1,19
KABILASI,5,102,7,475,0,5
KACHANARI,121,212,1,546,133,3
KALYANPUR JABADI,138,250,238,1136,3,16
KALYANPURKALABANZAR,36,80,3,496,0,2
KARJANHA,11,240,23,1095,0,34
KHARUKYANHI,34,76,6,712,0,1
KHIRAUNA,136,178,8,302,5,14
KRISHNAPUR BIRTA,31,114,39,549,0,3
KUSHAHALAXININIYA,33,175,5,431,25,0
LAGADI GADIYANI,20,182,42,729,3,14
LAGADIGOTH,5,87,0,512,0,10
LAHAN MUNICIPALITY,355,3015,824,2182,19,84
LALPUR,146,126,9,480,1,0
LAXMINIYA,140,264,53,332,0,8
LAXMIPUR (PRA.MA.),204,145,17,359,0,3
LAXMIPUR PATARI,11,119,14,633,56,0
MADAR,40,584,90,992,2,17
MAHADEWA PORTAHA,14,89,14,603,3,7
MAHANAUR,50,167,6,807,1,29
MAHESHPUR GAMHARIA,10,163,46,617,1,1
MAHESHPUR PATARI,189,95,3,452,8,6
MAJHAULIYA,38,161,32,602,14,11
MAJHAURA,157,115,7,648,9,10
MALHANIYA GAMHARIA,53,164,3,234,0,2
MALHANIYAKHORI,50,201,21,513,0,25
MAUWAHI,13,67,6,492,19,0
BHEDIA,69,126,4,603,1,19
MOHANPUR KAMALPUR,5,173,41,761,1,5
MUKSAR,10,47,0,640,0,6
NAHARA RIGOUL,89,167,14,676,25,4
NARAHA BALKAWA,196,173,7,479,0,13
NAVARAJPUR,445,171,11,673,164,5
PADARIYA THARUTOL,145,211,19,760,4,8
PIPRA PRA.DHA,4,134,9,520,1,7
PIPRA PRA.PI,21,151,13,923,4,30
POKHARBHINDA,17,83,24,518,0,3
RAGHOPUR,47,94,1,573,0,23
RAJPUR,192,101,44,627,1,4
RAMNAGAR MIRCHAIYA,307,927,541,779,1,25
RAMPUR BIRTA,8,251,26,671,0,8
SAKHUWANANKARKATTI,15,69,2,498,0,0
SANHAITHA,80,301,13,631,5,6
SARSWAR,14,630,102,471,0,4
SIKRON,17,55,29,483,0,6
SILORBA PACHHAWARI,0,37,15,856,0,2
SIRAHA MUNICIPALITY,286,2235,562,2261,6,50
SISAWANI,18,156,16,788,2,13
SITAPUR PRA.DA.,6,140,6,939,0,4
SITAPUR PRA.RA.,12,255,2,597,0,5
SONMATI MAJHAURA,22,232,2,482,2,5
SOTHIYAN,11,102,5,592,5,3
SUKHACHINA,95,149,7,265,0,8
SUKHIPUR,64,394,19,1461,3,17
TENUWAPATTI,22,181,21,508,13,5
THALAHA KATAHA,7,111,32,669,0,2
TULSIPUR,15,170,7,491,0,6
VIDHYANAGAR,38,203,22,516,9,5
TOTAL,6569,26028,4511,77563,1718,1540
