VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,3354,13452,7093,6359,4.010733452593918,111.54269539235729
CHARANG,132,452,217,235,3.4242424242424243,92.34042553191489
CHHONHUP,202,801,365,436,3.9653465346534653,83.71559633027523
CHHOSER,158,529,227,302,3.348101265822785,75.16556291390728
CHHUSANG,168,512,247,265,3.0476190476190474,93.20754716981132
GHAMI,169,611,285,326,3.6153846153846154,87.42331288343557
JHONG,85,253,112,141,2.976470588235294,79.43262411347519
JOMSOM,430,1370,702,668,3.186046511627907,105.08982035928143
KAGBENI,274,937,461,476,3.4197080291970803,96.84873949579831
KOBANG,198,727,378,349,3.6717171717171717,108.30945558739256
KUNJO,174,711,374,337,4.086206896551724,110.97922848664687
LETE,222,839,441,398,3.779279279279279,110.80402010050253
LOMANTHANG,172,569,276,293,3.308139534883721,94.19795221843003
MARPHA,414,1551,839,712,3.746376811594203,117.8370786516854
MUKTINATH,198,628,301,327,3.1717171717171717,92.04892966360856
SURKHANG,103,360,180,180,3.495145631067961,100
TUKUCHE,206,743,366,377,3.6067961165048543,97.08222811671088
