VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
CHARANG,41,45,8,18,33,26,0,1
CHHONHUP,97,133,42,46,54,87,1,0
CHHOSER,40,86,19,28,21,57,0,1
CHHUSANG,35,52,8,5,27,45,0,2
GHAMI,58,76,24,38,33,36,1,2
JHONG,13,31,4,10,8,19,1,2
JOMSOM,191,186,128,129,61,57,2,0
KAGBENI,93,108,36,28,55,78,2,2
KOBANG,110,113,71,64,36,48,3,1
KUNJO,143,131,101,80,40,48,2,3
LETE,150,129,117,89,32,40,1,0
LOMANTHANG,48,71,25,21,20,47,3,3
MARPHA,233,256,141,162,88,93,4,1
MUKTINATH,44,67,18,26,25,40,1,1
SURKHANG,35,45,18,14,17,30,0,1
TUKUCHE,96,132,64,90,32,42,0,0
INSTITUTIONAL,659,433,537,385,122,47,0,1
