VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
CHARANG,121,7,1,3
CHHONHUP,191,4,7,0
CHHOSER,149,5,2,2
CHHUSANG,116,30,3,19
GHAMI,154,12,1,2
JHONG,65,19,1,0
JOMSOM,201,156,69,4
KAGBENI,169,69,11,25
KOBANG,115,53,12,18
KUNJO,135,10,8,21
LETE,148,49,20,5
LOMANTHANG,168,4,0,0
MARPHA,233,146,29,6
MUKTINATH,140,26,0,32
SURKHANG,93,3,7,0
TUKUCHE,80,113,11,2
TOTAL,2278,706,182,139
