VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AWAL PARAJUL,953,1045,676,690,223,240,54,115
BADABHAIRAB,667,837,532,619,134,218,1,0
BADAKHOLA,578,677,483,520,93,156,2,1
BADALAMJI,1370,1522,944,1048,381,417,45,57
BALUWATAR,860,901,532,521,288,345,40,35
BANSI,876,1040,680,703,190,325,6,12
BARAHA,903,910,703,649,189,244,11,17
BELPATA,581,647,479,471,102,174,0,2
BHAWANI,526,555,349,365,175,187,2,3
BINDHYABASINI,635,773,523,573,103,178,9,22
BISALLA,1554,1776,1143,1191,392,565,19,20
CHAMUNDA,2682,2901,1945,1966,573,720,164,215
CHAURATHA,643,751,512,554,123,191,8,6
DADA PARAJUL,1068,1253,910,949,129,262,29,42
DULLU,889,951,669,685,214,252,6,14
GAMAUDI,639,802,509,588,127,208,3,6
GAURI,526,641,442,457,70,167,14,17
GOGANPANI,690,752,512,502,168,228,10,22
JAGANATH,650,744,493,549,110,143,47,52
JAMBUKANDH,1478,1583,1179,1142,237,327,62,114
KAL BHAIRAB,892,983,628,675,257,298,7,10
KALIKA,614,666,416,449,193,211,5,6
KASIKANDH,1246,1270,962,908,263,338,21,24
KATTI,1271,1364,990,943,280,415,1,6
KHADGABADA,1087,1307,744,851,289,378,54,78
KHARIGAIRA,829,1044,692,763,135,281,2,0
KUSAPANI,1190,1219,981,946,193,261,16,12
LAKANDRA,1377,1460,1054,926,292,498,31,36
LANKURI,778,868,614,634,162,230,2,4
LALIKANDA,949,1015,765,735,165,258,19,22
LAYATI BINDRASAINI,1797,1793,1332,1183,368,443,97,167
BHAIRI KALIKATHUM,1369,1470,1003,1105,337,341,29,24
MALIKA,1271,1435,922,1004,335,412,14,19
MEHELTOLI,574,671,438,470,135,199,1,2
NARAYAN MUNICIPALITY,4129,4711,3266,3353,730,1212,133,146
NAULE KATUWAL,991,1064,818,819,167,241,6,4
NEPA,1191,1315,877,902,310,410,4,3
NAUMULE,383,446,318,296,64,148,1,2
DWARI,693,640,517,435,165,198,11,7
PADUKASTHAN,1212,1320,957,926,237,379,18,15
PAGNATH,552,682,276,333,272,344,4,5
PILADI,625,688,458,479,137,177,30,32
PIPALKOT,739,834,556,561,179,265,4,8
CHHIUDI PUSAKOT,1131,1191,779,823,298,268,54,100
RAKAM KARNALI,618,728,478,483,126,224,14,21
RANIBAN,962,1174,737,876,168,245,57,53
RAWATKOT,1088,1231,818,902,254,309,16,20
RUMA,550,640,447,483,93,122,10,35
SALLERI,919,1025,672,691,237,316,10,18
SATTALA,1060,1172,747,745,251,359,62,68
SERI,475,567,381,403,93,164,1,0
SIGAUDI,1406,1500,971,828,400,618,35,54
SINHASAIN,1495,1644,1226,1131,267,505,2,8
TILEPATA,1308,1319,1043,920,257,391,8,8
TOLI,782,858,631,622,148,231,3,5
TOLIJAISI,1450,1538,1102,1019,316,465,32,54
INSTITUTIONAL,139,15,16,11,123,4,0,0
