VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AWAL PARAJUL,392,256,107,11
BADABHAIRAB,26,489,4,0
BADAKHOLA,89,395,103,1
BADALAMJI,753,224,181,6
BALUWATAR,471,49,68,14
BANSI,346,328,103,8
BARAHA,226,309,177,7
BELPATA,41,480,45,4
BHAWANI,260,67,64,2
BINDHYABASINI,286,220,68,3
BISALLA,962,5,224,4
CHAMUNDA,1533,71,444,16
CHAURATHA,307,70,143,6
DADA PARAJUL,316,432,246,7
DULLU,504,222,117,7
GAMAUDI,305,290,70,3
GAURI,136,241,166,2
GOGANPANI,124,392,137,4
JAGANATH,52,442,6,4
JAMBUKANDH,971,128,95,1
KAL BHAIRAB,404,265,202,8
KALIKA,256,110,50,0
KASIKANDH,550,124,132,3
KATTI,264,410,241,4
KHADGABADA,481,371,129,6
KHARIGAIRA,626,165,30,5
KUSAPANI,315,332,317,4
LAKANDRA,365,625,49,10
LANKURI,13,652,38,4
LALIKANDA,212,485,70,3
LAYATI BINDRASAINI,977,192,201,5
BHAIRI KALIKATHUM,776,179,93,6
MALIKA,846,134,69,12
MEHELTOLI,14,438,5,2
NARAYAN MUNICIPALITY,1644,2067,930,37
NAULE KATUWAL,515,209,107,4
NEPA,727,250,38,0
NAUMULE,275,45,14,0
DWARI,342,114,13,9
PADUKASTHAN,758,151,156,0
PAGNATH,152,286,64,3
PILADI,143,260,96,5
PIPALKOT,510,27,3,4
CHHIUDI PUSAKOT,680,117,112,23
RAKAM KARNALI,246,301,5,4
RANIBAN,559,44,137,7
RAWATKOT,618,286,138,3
RUMA,114,314,25,0
SALLERI,539,97,50,3
SATTALA,378,352,163,2
SERI,122,265,71,1
SIGAUDI,878,128,96,2
SINHASAIN,433,323,430,7
TILEPATA,575,371,17,8
TOLI,476,127,58,2
TOLIJAISI,79,953,24,27
TOTAL,24962,16679,6941,333
