VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AKHIKARICHAUR,1063,0,6,194,102,54,1,4
AMALACHAUR,870,1,22,65,245,0,1,2
AMARBHUMI,554,0,0,3,5,0,0,1
ARGAL,456,0,2,2,15,0,0,0
ARJEWA,388,0,0,50,45,0,0,1
BATAKACHAUR,840,1,7,10,1,7,0,3
BHAKUNDE,824,2,22,1,17,0,0,1
BHIMPOKHARA,811,2,1,3,1,1,0,6
BHINGGITHE,1021,0,21,2,33,74,33,2
BIHUNKOT,1384,0,0,6,32,6,1,12
BINAMARE,467,1,15,20,55,2,0,2
BOHARAGAUN,1175,0,3,45,44,12,0,15
BONGADOVAN,1058,1,14,10,101,22,0,11
BOWANG,801,2,9,199,191,206,16,17
BURTIWANG,1919,0,1,57,10,1,0,10
CHHISTI,899,0,25,26,121,29,1,5
DAGATUNDADA,1115,0,0,3,13,12,2,23
DAMEK,1042,0,0,15,136,9,1,3
DARLING,699,2,9,151,231,34,0,30
DEVISTHAN,1389,3,5,61,143,12,0,3
DHAMJA,588,0,2,0,4,6,0,0
DHUDHILABHATI,904,0,1,27,19,1,0,17
DHULLU GAIDI,907,1,4,5,75,4,0,10
DHULLUBASKOT,762,0,1,2,10,0,0,4
GWALICHAUR,890,0,0,3,16,4,5,8
HARICHAUR,1141,0,2,3,122,0,2,0
HATIYA,1571,0,1,7,42,2,96,4
HEEL,608,0,0,3,0,0,0,1
HUGDISHEER,902,0,0,12,14,1,0,4
JALJALA,735,0,1,10,38,20,0,0
BAGLUNG MUNICIPALITY,7496,5,46,70,197,9,6,19
KANDEBAS,501,0,2,11,22,0,2,1
KHUNGA,628,0,0,109,62,37,2,5
KUSMISHERA,801,0,1,3,11,0,0,2
LEKHANI,604,0,2,0,18,0,0,2
MALIKA,583,0,0,0,0,0,0,4
MALMA,1055,0,1,6,5,0,0,0
NARAYANSTHAN,780,0,0,0,0,1,0,0
NARETHANTI,631,1,0,108,18,4,0,6
NISI,588,0,9,255,286,270,0,17
PAIYUNPATA,1185,0,0,6,142,10,0,4
PAIYUNTHANTHAP,824,0,0,4,5,3,0,2
PALAKOT,831,1,3,6,31,0,0,1
PANDAVKHANI,531,0,0,5,6,3,4,3
RAJKUT,442,0,6,104,5,0,1,0
RANASINKITENI,498,0,6,43,13,8,0,2
RANGKHANI,869,1,2,11,9,7,0,8
RAYADANDA,501,3,3,23,11,7,1,0
RESH,1113,0,4,7,15,11,5,1
RIGHA,745,1,1,21,51,2,1,1
SALYAN,385,0,1,5,1,1,0,0
SARKUWA,399,0,1,79,70,1,0,0
SINGANA,772,0,0,1,0,1,0,3
SISAKHANI,337,2,2,62,3,4,8,0
SUKHAURA,185,0,0,5,76,0,0,0
KHUNGKHANI,462,0,1,38,16,4,0,4
TAMAN,542,0,2,66,49,20,0,1
TANGRAM,832,0,2,4,6,0,0,2
TARA,748,1,1,10,77,4,0,4
TITYANG,965,0,2,0,12,1,0,1
TOTAL,54616,31,272,2057,3098,927,189,292
