VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AKHIKARICHAUR,721,337,362,4
AMALACHAUR,163,920,121,2
AMARBHUMI,65,279,219,0
ARGAL,52,119,304,0
ARJEWA,16,442,25,1
BATAKACHAUR,118,243,505,3
BHAKUNDE,20,799,47,1
BHIMPOKHARA,37,714,68,6
BHINGGITHE,238,418,528,2
BIHUNKOT,75,1227,127,12
BINAMARE,25,281,254,2
BOHARAGAUN,468,220,591,15
BONGADOVAN,839,209,158,11
BOWANG,1282,67,74,18
BURTIWANG,575,852,561,10
CHHISTI,63,583,455,5
DAGATUNDADA,62,844,239,23
DAMEK,42,1104,57,3
DARLING,589,43,494,30
DEVISTHAN,1070,223,320,3
DHAMJA,63,451,86,0
DHUDHILABHATI,25,624,306,14
DHULLU GAIDI,200,629,174,3
DHULLUBASKOT,128,479,168,4
GWALICHAUR,221,399,299,7
HARICHAUR,59,874,337,0
HATIYA,176,1222,321,4
HEEL,42,184,385,1
HUGDISHEER,74,446,409,4
JALJALA,43,728,33,0
BAGLUNG MUNICIPALITY,158,6236,1431,23
KANDEBAS,21,327,190,1
KHUNGA,544,138,156,5
KUSMISHERA,87,573,156,2
LEKHANI,47,440,137,2
MALIKA,15,537,31,4
MALMA,105,635,327,0
NARAYANSTHAN,16,461,304,0
NARETHANTI,49,560,153,6
NISI,898,45,465,17
PAIYUNPATA,150,964,229,4
PAIYUNTHANTHAP,133,624,79,2
PALAKOT,111,652,110,0
PANDAVKHANI,76,291,182,3
RAJKUT,259,206,93,0
RANASINKITENI,334,44,190,2
RANGKHANI,95,693,113,6
RAYADANDA,106,314,129,0
RESH,91,913,152,0
RIGHA,136,361,325,1
SALYAN,20,139,234,0
SARKUWA,69,441,40,0
SINGANA,95,644,37,1
SISAKHANI,175,22,221,0
SUKHAURA,0,59,207,0
KHUNGKHANI,221,28,272,4
TAMAN,438,68,174,0
TANGRAM,72,504,268,2
TARA,56,291,494,4
TITYANG,22,800,157,2
TOTAL,12150,33970,15083,279
