VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AKHIKARICHAUR,1242,102,5,5,66,4
AMALACHAUR,1144,58,2,0,0,2
AMARBHUMI,521,36,1,1,3,1
ARGAL,446,7,1,7,14,0
ARJEWA,460,21,1,1,0,1
BATAKACHAUR,359,319,14,167,7,3
BHAKUNDE,836,29,0,0,1,1
BHIMPOKHARA,794,21,1,3,0,6
BHINGGITHE,930,189,0,0,65,2
BIHUNKOT,1359,66,0,3,1,12
BINAMARE,537,17,5,1,0,2
BOHARAGAUN,325,887,0,19,47,16
BONGADOVAN,1034,113,1,10,48,11
BOWANG,686,577,1,32,127,18
BURTIWANG,1820,100,5,6,57,10
CHHISTI,977,116,1,3,4,5
DAGATUNDADA,1105,34,1,5,0,23
DAMEK,1076,125,0,0,2,3
DARLING,833,146,1,3,144,29
DEVISTHAN,1316,210,4,20,63,3
DHAMJA,463,117,0,14,6,0
DHUDHILABHATI,931,18,2,0,1,17
DHULLU GAIDI,879,103,1,5,7,11
DHULLUBASKOT,541,105,3,109,17,4
GWALICHAUR,841,56,4,13,5,7
HARICHAUR,1217,48,4,0,1,0
HATIYA,1652,65,1,0,1,4
HEEL,481,23,2,105,0,1
HUGDISHEER,479,307,0,109,34,4
JALJALA,1,105,3,691,4,0
BAGLUNG MUNICIPALITY,7674,112,21,6,13,22
KANDEBAS,497,36,1,1,3,1
KHUNGA,618,173,1,5,41,5
KUSMISHERA,781,31,3,0,1,2
LEKHANI,599,22,0,2,1,2
MALIKA,580,2,0,0,1,4
MALMA,891,170,0,2,4,0
NARAYANSTHAN,757,23,1,0,0,0
NARETHANTI,715,41,2,3,1,6
NISI,226,973,3,92,114,17
PAIYUNPATA,1257,85,0,0,1,4
PAIYUNTHANTHAP,795,37,0,3,1,2
PALAKOT,841,29,1,1,0,1
PANDAVKHANI,518,19,0,1,11,3
RAJKUT,379,105,2,14,58,0
RANASINKITENI,222,139,1,94,112,2
RANGKHANI,844,46,1,6,2,8
RAYADANDA,516,28,4,1,0,0
RESH,1130,16,0,1,8,1
RIGHA,224,379,0,214,5,1
SALYAN,273,23,1,96,0,0
SARKUWA,530,20,0,0,0,0
SINGANA,751,20,0,3,0,3
SISAKHANI,364,42,11,1,0,0
SUKHAURA,1,20,0,133,112,0
KHUNGKHANI,312,171,1,1,36,4
TAMAN,559,32,0,2,86,1
TANGRAM,481,161,1,176,25,2
TARA,685,77,2,63,14,4
TITYANG,937,42,0,0,0,2
TOTAL,50242,7194,121,2253,1375,297
