VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,24908,134912,65806,69106,5.416412397623254,95.2247272306312
ATICHAUR,751,4277,2082,2195,5.6950732356857525,94.85193621867882
BADDHU,980,5059,2411,2648,5.162244897959184,91.04984894259819
BAI,628,3383,1581,1802,5.3869426751592355,87.73584905660378
BARHABIS,1650,8374,3875,4499,5.075151515151515,86.13025116692599
BICHHAIYA,507,2723,1423,1300,5.370808678500986,109.46153846153845
BRAMHATOLA,1322,6431,2890,3541,4.864599092284418,81.61536289183846
BUDHIGANGA,808,4042,1986,2056,5.002475247524752,96.59533073929961
CHHATARA,700,3712,1725,1987,5.3028571428571425,86.81429290387518
DAHAKOT,806,4438,2179,2259,5.506203473945409,96.45861000442673
DOGADI,588,3456,1627,1829,5.877551020408164,88.95571350464735
GOTREE,1019,6030,3000,3030,5.91756624141315,99.00990099009901
GUDUKHATI,852,5130,2386,2744,6.02112676056338,86.9533527696793
JAGANNATH,702,3587,1738,1849,5.10968660968661,93.99675500270416
JAYABAGESWORI,437,2512,1190,1322,5.748283752860412,90.01512859304086
JUGADA,982,5358,2660,2698,5.456211812627291,98.59154929577466
JUKOT,597,3230,1613,1617,5.410385259631491,99.75262832405689
KAILASHMANDAU,1818,9586,4489,5097,5.272827282728273,88.0714145575829
KANDA,546,3200,1512,1688,5.86080586080586,89.57345971563981
KOLTI,1330,7134,3621,3513,5.36390977443609,103.07429547395388
KOTILA,614,3224,1574,1650,5.250814332247557,95.39393939393939
KULDEUMADAU,1305,6872,3210,3662,5.265900383141762,87.65701802293829
MANAKOT,490,2688,1291,1397,5.485714285714286,92.41231209735147
MARTADI,1920,8807,4706,4101,4.586979166666667,114.75249939039259
PANDUSAIN,1184,6751,3396,3355,5.701858108108108,101.2220566318927
RUGIN,522,2914,1464,1450,5.582375478927203,100.96551724137932
SAPPATA,998,6171,3032,3139,6.183366733466934,96.59127110544759
TOLIDEWAL,832,5065,2417,2648,6.087740384615385,91.27643504531721
