VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ATICHAUR,744,0,0,0,0,7
BADDHU,963,0,0,0,1,16
BAI,613,0,0,2,0,13
BARHABIS,1564,0,0,69,1,16
BICHHAIYA,495,0,0,2,4,6
BRAMHATOLA,1299,0,0,3,3,17
BUDHIGANGA,761,0,0,43,3,1
CHHATARA,689,0,0,1,0,10
DAHAKOT,801,1,0,0,0,4
DOGADI,584,0,0,0,0,4
GOTREE,1013,0,0,0,1,5
GUDUKHATI,841,0,0,1,0,10
JAGANNATH,691,0,0,0,8,3
JAYABAGESWORI,425,2,0,1,0,9
JUGADA,967,2,0,1,0,12
JUKOT,596,0,0,0,0,1
KAILASHMANDAU,1805,3,0,0,0,10
KANDA,533,1,0,1,1,10
KOLTI,1286,23,0,12,0,9
KOTILA,607,0,1,1,0,5
KULDEUMADAU,1223,0,0,66,0,16
MANAKOT,488,0,0,0,1,1
MARTADI,1712,72,2,26,88,20
PANDUSAIN,1175,0,0,4,1,4
RUGIN,511,0,1,0,0,10
SAPPATA,991,1,0,0,0,6
TOLIDEWAL,831,0,0,0,0,1
TOTAL,24208,105,4,233,112,226
