VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ATICHAUR,740,5,5,1
BADDHU,957,10,0,13
BAI,623,5,0,0
BARHABIS,1582,46,2,20
BICHHAIYA,495,7,1,4
BRAMHATOLA,1276,42,0,4
BUDHIGANGA,728,70,0,10
CHHATARA,696,1,1,2
DAHAKOT,764,31,4,7
DOGADI,576,4,0,8
GOTREE,987,22,0,10
GUDUKHATI,844,4,0,4
JAGANNATH,670,4,0,28
JAYABAGESWORI,423,11,0,3
JUGADA,953,23,2,4
JUKOT,589,2,0,6
KAILASHMANDAU,1802,4,0,12
KANDA,535,8,2,1
KOLTI,1153,169,5,3
KOTILA,598,6,0,10
KULDEUMADAU,1229,68,4,4
MANAKOT,483,5,1,1
MARTADI,1356,429,110,25
PANDUSAIN,1154,18,0,12
RUGIN,494,25,0,3
SAPPATA,976,20,1,1
TOLIDEWAL,823,6,0,3
TOTAL,23506,1045,138,199
