VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AMALE,227,0,24,157,0,3,4
ARUNTHAKUR,760,5,75,149,0,10,11
BAHUNTILPUNG,486,1,4,66,0,0,2
BALAJOR,532,2,120,78,0,0,2
BASESHWOR,603,5,0,11,0,0,1
BASTIPUR,438,0,11,92,0,1,3
BELGHARI,447,7,90,197,0,7,1
BHADRAKALI,715,42,16,73,0,2,0
BHIMESHWOR,429,16,0,9,0,0,5
BHIMSTHAN,675,19,173,282,0,5,6
BHUWANESHORI GWALTAR,344,2,1,23,0,0,1
BITIJOR BAGAIYA,340,0,2,6,0,0,1
DADIGURANSHE,403,37,364,159,0,5,5
DUDBHANJYANG,516,1,4,6,0,1,1
DUDHOULI,19,178,284,1246,0,0,31
HARIHARPUR GADHI,584,1,75,47,0,0,1
HARSAHI,181,56,117,597,2,0,20
HATPATE,573,110,220,694,1,23,2
JALKANYA,388,2,1,0,0,0,4
JARAYOTAR,966,20,101,310,0,21,7
JHANGAJHOLI RATMATA,1174,2,0,11,0,0,7
JINAKHU,721,5,22,188,0,5,8
KAKUR THAKUR,537,13,204,225,0,5,11
KALPABRISHYKHA,82,42,1059,399,0,8,4
KAMALAMAI MUNICIPALITY,1890,3806,2098,1166,48,237,59
KAPILAKOT,1542,85,163,149,1,23,4
KHANG SANG,493,1,6,7,0,0,3
KHOLAGAUN,512,0,1,10,0,0,5
KUSESWOR DUMJA,982,3,2,9,0,0,14
KYANESHWOR,168,7,1125,292,0,2,23
LADABHIR,665,119,143,654,0,0,4
LAMPANTAR,887,11,121,121,0,2,9
MAHADEVDADA,641,3,1,11,0,0,1
MAHADEVSTHAN,417,45,552,275,0,8,12
MAHENDRA JHYADI,529,6,268,146,1,5,7
MAJHUWA,525,0,1,0,0,0,0
NETRAKALI,566,0,20,18,0,0,2
NIPANE,15,21,130,531,0,2,3
PIPALMADI,441,13,549,255,0,28,13
PURANO JHANGAJHOLI,1000,5,1,7,0,0,2
RANIBAS,58,123,464,397,1,61,6
RANICHURI,501,13,598,563,0,0,10
RATANCHURA,501,36,1,9,0,0,1
RATNAWATI,461,1,2,21,0,0,8
SANTESWORI (RAMPUR),412,0,3,27,0,0,4
SIRTHOULI,162,109,214,1172,0,2,14
SITALPATI,798,0,0,4,0,1,9
SOLPATHANA,386,2,0,3,0,0,4
SUNAM POKHARI,427,0,4,21,0,0,0
TAMAJOR,426,0,3,15,0,0,1
TANDI,205,104,168,1401,1,7,10
TINKANYA,795,0,1,3,0,0,6
TOSRAMKHOLA,321,0,2,6,0,0,1
AMBOTE,603,8,63,71,0,20,6
TOTAL,29469,5087,9671,12389,55,494,379
