VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,57581,296192,142123,154069,5.143919001059377,92.24633118927234
AMALE,415,2261,1047,1214,5.448192771084337,86.24382207578253
ARUNTHAKUR,1010,5766,2742,3024,5.708910891089109,90.67460317460318
BAHUNTILPUNG,559,3116,1533,1583,5.574239713774597,96.84144030322173
BALAJOR,734,4358,2062,2296,5.937329700272479,89.80836236933798
BASESHWOR,620,3200,1557,1643,5.161290322580645,94.76567255021303
BASTIPUR,545,3029,1366,1663,5.557798165137615,82.14070956103427
BELGHARI,749,3846,1898,1948,5.134846461949266,97.43326488706366
BHADRAKALI,848,4415,2074,2341,5.206367924528302,88.5946176847501
BHIMESHWOR,459,2298,1149,1149,5.006535947712418,100
BHIMSTHAN,1160,5780,2710,3070,4.982758620689655,88.27361563517914
BHUWANESHORI GWALTAR,371,2039,999,1040,5.495956873315364,96.0576923076923
BITIJOR BAGAIYA,349,1942,965,977,5.564469914040115,98.77175025588537
DADIGURANSHE,973,4804,2262,2542,4.937307297019527,88.98505114083399
DUDBHANJYANG,529,2860,1405,1455,5.406427221172023,96.56357388316151
DUDHOULI,1758,8568,4044,4524,4.873720136518771,89.38992042440319
HARIHARPUR GADHI,708,4744,2253,2491,6.700564971751413,90.4456041750301
HARSAHI,973,4693,2170,2523,4.8232271325796505,86.008719778042
HATPATE,1623,8106,3831,4275,4.99445471349353,89.6140350877193
JALKANYA,395,1806,822,984,4.572151898734178,83.53658536585365
JARAYOTAR,1425,7310,3414,3896,5.129824561403509,87.62833675564681
JHANGAJHOLI RATMATA,1194,5337,2506,2831,4.469849246231155,88.51995761215117
JINAKHU,949,5270,2621,2649,5.553213909378293,98.9429973574934
KAKUR THAKUR,995,5487,2666,2821,5.514572864321608,94.5054945054945
KALPABRISHYKHA,1594,9370,4483,4887,5.878293601003764,91.73316963372213
KAMALAMAI MUNICIPALITY,9304,39413,18788,20625,4.236134995700774,91.09333333333333
KAPILAKOT,1967,11485,5589,5896,5.838840874428063,94.79308005427409
KHANG SANG,510,2831,1362,1469,5.550980392156863,92.71613342409802
KHOLAGAUN,528,2829,1352,1477,5.357954545454546,91.53689911983751
KUSESWOR DUMJA,1010,4973,2366,2607,4.923762376237624,90.75565784426544
KYANESHWOR,1617,9364,4482,4882,5.790970933828077,91.80663662433429
LADABHIR,1585,7226,3407,3819,4.558990536277602,89.21183555904688
LAMPANTAR,1151,5942,2807,3135,5.1624674196350995,89.53748006379585
MAHADEVDADA,657,3879,1880,1999,5.904109589041096,94.04702351175588
MAHADEVSTHAN,1309,6967,3210,3757,5.322383498854087,85.44051104604738
MAHENDRA JHYADI,962,6015,2872,3143,6.252598752598753,91.37766465160675
MAJHUWA,526,2398,1090,1308,4.55893536121673,83.33333333333334
NETRAKALI,606,3400,1612,1788,5.6105610561056105,90.1565995525727
NIPANE,702,3418,1602,1816,4.868945868945869,88.21585903083701
PIPALMADI,1299,7604,3668,3936,5.85373364126251,93.1910569105691
PURANO JHANGAJHOLI,1015,4707,2161,2546,4.63743842364532,84.87824037706206
RANIBAS,1110,5067,2327,2740,4.564864864864865,84.92700729927007
RANICHURI,1685,8881,4189,4692,5.270623145400593,89.27962489343564
RATANCHURA,548,2821,1337,1484,5.147810218978102,90.09433962264151
RATNAWATI,493,2745,1276,1469,5.567951318458418,86.86181075561606
SANTESWORI (RAMPUR),446,2725,1344,1381,6.109865470852018,97.32078204199856
SIRTHOULI,1673,7618,3568,4050,4.553496712492528,88.09876543209877
SITALPATI,812,4058,1865,2193,4.997536945812808,85.04331965344278
SOLPATHANA,395,2195,1079,1116,5.556962025316456,96.68458781362007
SUNAM POKHARI,452,2489,1194,1295,5.506637168141593,92.20077220077219
TAMAJOR,445,2346,1102,1244,5.27191011235955,88.58520900321544
TANDI,1896,9150,4353,4797,4.825949367088608,90.74421513445904
TINKANYA,805,4169,1988,2181,5.17888198757764,91.1508482347547
TOSRAMKHOLA,330,1979,944,1035,5.996969696969697,91.20772946859903
AMBOTE,771,4074,2008,2066,5.284046692607004,97.19264278799614
