VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AMALE,328,0,0,65,0,19,0,3
ARUNTHAKUR,456,3,4,240,126,174,0,7
BAHUNTILPUNG,520,3,12,23,0,1,0,0
BALAJOR,539,1,6,186,1,0,0,1
BASESHWOR,422,3,0,96,67,30,0,2
BASTIPUR,379,0,0,149,0,13,1,3
BELGHARI,396,39,35,246,3,29,0,1
BHADRAKALI,733,2,1,100,0,12,0,0
BHIMESHWOR,442,0,2,1,0,9,0,5
BHIMSTHAN,983,5,10,135,6,18,0,3
BHUWANESHORI GWALTAR,299,0,0,13,52,2,5,0
BITIJOR BAGAIYA,317,0,2,7,16,5,0,2
DADIGURANSHE,657,90,22,108,6,89,0,1
DUDBHANJYANG,332,1,3,62,54,77,0,0
DUDHOULI,307,866,30,437,92,2,0,24
HARIHARPUR GADHI,412,0,9,257,2,1,27,0
HARSAHI,31,26,1,901,0,2,0,12
HATPATE,1164,87,14,337,3,15,3,0
JALKANYA,383,0,0,11,0,0,0,1
JARAYOTAR,711,3,125,381,127,67,5,6
JHANGAJHOLI RATMATA,601,2,9,78,253,247,0,4
JINAKHU,590,1,3,279,40,31,1,4
KAKUR THAKUR,837,25,4,84,0,41,0,4
KALPABRISHYKHA,150,235,47,812,26,315,3,6
KAMALAMAI MUNICIPALITY,6089,944,584,1348,160,140,15,24
KAPILAKOT,805,205,0,915,8,28,3,3
KHANG SANG,484,0,9,1,2,12,0,2
KHOLAGAUN,272,0,5,98,130,17,1,5
KUSESWOR DUMJA,959,0,8,6,3,33,0,1
KYANESHWOR,275,77,101,952,25,133,49,5
LADABHIR,951,205,7,367,1,52,1,1
LAMPANTAR,773,1,3,312,9,45,2,6
MAHADEVDADA,605,0,4,38,5,3,0,2
MAHADEVSTHAN,483,98,63,538,0,119,1,7
MAHENDRA JHYADI,306,8,119,495,15,9,3,7
MAJHUWA,455,0,0,30,9,32,0,0
NETRAKALI,580,0,0,24,0,0,0,2
NIPANE,364,2,0,334,0,1,0,1
PIPALMADI,241,0,3,741,236,23,45,10
PURANO JHANGAJHOLI,293,1,1,69,364,286,0,1
RANIBAS,733,0,26,293,54,1,0,3
RANICHURI,1136,1,30,462,26,20,2,8
RATANCHURA,523,0,6,15,0,3,0,1
RATNAWATI,408,0,1,34,0,43,0,7
SANTESWORI (RAMPUR),392,1,4,43,0,3,0,3
SIRTHOULI,464,336,166,673,2,21,1,10
SITALPATI,569,0,0,37,134,66,0,6
SOLPATHANA,376,1,0,6,1,7,0,4
SUNAM POKHARI,344,1,0,17,48,42,0,0
TAMAJOR,427,0,1,15,1,1,0,0
TANDI,459,402,7,936,30,52,0,10
TINKANYA,770,5,0,16,1,8,0,5
TOSRAMKHOLA,289,1,16,16,5,2,0,1
AMBOTE,610,0,32,107,1,17,0,4
TOTAL,33424,3681,1535,13946,2144,2418,168,228
