VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AAMA,2739,2567,1563,1171,1119,1338,57,58
AANANDABAN,2112,2125,1534,1436,459,526,119,163
PASCHIM AMUWA,2305,2517,1728,1728,547,758,30,31
ASURAINA,1788,1621,1076,829,651,653,61,139
BAGAHA,1300,1274,764,623,407,498,129,153
BAGAULI,2353,2222,1183,989,1130,1178,40,55
BAIRGHAT,1502,1369,900,667,568,636,34,66
BASANTAPUR,1852,1909,1204,1098,623,757,25,54
BETAKUIYA,1143,1184,662,546,408,531,73,107
BHAGAWANPUR,2784,2693,1708,1344,1069,1339,7,10
BISHNUPURA,3472,3461,2310,1841,1080,1486,82,134
BODAWAR,2013,1959,1225,980,775,969,13,10
BOGADI,2587,2427,1642,1341,918,1058,27,28
BUTWAL MUNICIPALITY,19887,19350,15434,14165,4124,4821,329,364
CHHIPAGADH,1188,1242,820,793,348,425,20,24
CHHOTAKI RAMNAGAR,1169,1264,841,761,292,438,36,65
CHILHIYA,1075,1147,770,773,286,365,19,9
DAYANAGAR,1802,1948,1340,1251,413,618,49,79
DEVDAHA,5298,5840,4170,4003,973,1633,155,204
DHAKADHAI,1565,1567,1130,966,391,549,44,52
DHAMAULI,1536,1576,938,734,530,688,68,154
DUDHARAKSHA,3722,4020,2855,2815,750,1087,117,118
EKALA,2518,2550,1445,1189,751,993,322,368
PHARENA,1021,948,647,481,357,448,17,19
GAJEDI,2649,2890,1904,1808,707,1044,38,38
GANGOLIYA,1521,1590,1095,1058,363,412,63,120
GONAHA,3235,3253,1984,1666,1187,1531,64,56
HARNAIYA,1108,1173,756,724,344,438,8,11
HATI BANGAI,1771,1715,1234,1028,528,681,9,6
HATI PHARSATIKAR,1150,1196,766,703,379,489,5,4
JOGADA,1474,1506,898,667,516,755,60,84
KAMAHARIYA,4603,4649,2827,2284,1696,2273,80,92
KARAHIYA,3128,3226,2486,2391,583,754,59,81
KARAUTA,2806,2742,1397,1194,1155,1232,254,316
KERWANI,3011,3348,2140,2135,665,985,206,228
KHADAWA BANGAI,1930,2126,1302,1306,605,725,23,95
KHUDABAGAR,1297,1386,739,534,551,845,7,7
LUMBINI AADARSHA,2465,2520,1247,979,1161,1450,57,91
MADHAWALIYA,1901,1966,1465,1395,391,521,45,50
MADHUWANI,1622,1554,1054,853,540,679,28,22
MAINAHIYA,1786,1868,1259,1184,503,634,24,50
MAJHAGAWA,1274,1324,780,679,396,498,98,147
MAKRAHAR,3236,3601,2415,2465,734,1055,87,81
MANMATERIYA,2227,2324,1433,1267,725,980,69,77
MANPAKADI,1542,1631,1057,1082,473,516,12,33
MARYADAPUR,1255,1315,755,695,480,596,20,24
MASINA,1368,1470,902,700,457,745,9,25
MOTIPUR,2005,2120,1476,1456,514,656,15,8
PADSARI,2065,2077,1414,1374,620,649,31,54
PAJARKATTI,1234,1236,819,694,378,484,37,58
SAKRAUN PAKADI,1415,1251,679,484,703,746,33,21
PARROHA,4840,5370,3813,3870,904,1321,123,179
PATAKHAULI,1290,1286,828,722,422,527,40,37
POKHARVINDI,1418,1464,964,866,433,524,21,74
RAYAPUR,2883,2618,1708,1353,1103,1147,72,118
ROINIHAWA,1340,1174,796,617,513,515,31,42
RUDRAPUR,3962,4693,3116,3156,793,1455,53,82
SADI,1521,1573,914,759,584,794,23,20
SALJHANDI,2011,2250,1546,1545,444,680,21,25
SEMARA MARCHAWAR,1997,1824,1127,917,800,857,70,50
SEMLAR,1790,2015,1440,1495,338,489,12,31
SHANKAR NAGAR,3656,3455,3104,2705,469,645,83,105
SIDDHARTHANAGAR MUNICIPALITY,11405,11325,8186,7341,2894,3577,325,407
SIKTAHAN,2321,2485,1466,1331,772,1040,83,114
SILAUTIYA,2216,2094,1246,1029,938,1043,32,22
SIPAWA,1839,1663,1087,782,600,659,152,222
SAURAHA PHARSATIKAR,1723,1908,1427,1481,291,422,5,5
SURYAPURA,4973,4997,3236,2740,1692,2212,45,45
TENUHAWA,2591,2841,1567,1395,998,1408,26,38
THUMHAWA PIPARHAWA,1045,1036,670,579,338,418,37,39
TIKULIGADH,2459,2743,1902,1913,476,689,81,141
INSTITUTIONAL,1594,347,635,299,940,47,19,1
