VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AAMA,1546,41,17,11
AANANDABAN,54,1666,1075,19
PASCHIM AMUWA,988,747,441,16
ASURAINA,984,15,32,20
BAGAHA,553,64,84,6
BAGAULI,1381,21,6,21
BAIRGHAT,670,12,46,14
BASANTAPUR,803,315,78,9
BETAKUIYA,655,34,22,2
BHAGAWANPUR,1076,83,404,21
BISHNUPURA,2064,98,48,21
BODAWAR,1223,27,21,6
BOGADI,1403,49,13,8
BUTWAL MUNICIPALITY,1489,23462,4325,386
CHHIPAGADH,802,45,5,6
CHHOTAKI RAMNAGAR,822,33,17,1
CHILHIYA,378,517,61,4
DAYANAGAR,908,633,227,1
DEVDAHA,1091,2306,2999,39
DHAKADHAI,876,160,64,4
DHAMAULI,791,22,21,6
DUDHARAKSHA,1356,2242,736,8
EKALA,1079,175,123,17
PHARENA,614,18,0,3
GAJEDI,1115,1197,198,7
GANGOLIYA,686,325,149,12
GONAHA,1666,207,52,19
HARNAIYA,589,62,90,5
HATI BANGAI,805,268,165,9
HATI PHARSATIKAR,600,173,31,1
JOGADA,835,31,3,23
KAMAHARIYA,2624,107,34,14
KARAHIYA,173,3385,696,13
KARAUTA,1378,72,5,32
KERWANI,1147,1224,739,22
KHADAWA BANGAI,908,512,129,6
KHUDABAGAR,591,65,23,8
LUMBINI AADARSHA,955,206,181,29
MADHAWALIYA,291,1488,487,12
MADHUWANI,753,180,139,1
MAINAHIYA,931,160,31,3
MAJHAGAWA,781,59,1,10
MAKRAHAR,1104,1673,695,7
MANMATERIYA,1152,192,94,12
MANPAKADI,839,297,8,4
MARYADAPUR,758,33,25,3
MASINA,717,55,9,6
MOTIPUR,665,1333,256,5
PADSARI,529,1191,262,6
PAJARKATTI,687,53,19,17
SAKRAUN PAKADI,706,4,15,6
PARROHA,1129,3827,771,4
PATAKHAULI,813,71,25,7
POKHARVINDI,826,102,6,1
RAYAPUR,1509,37,14,8
ROINIHAWA,557,31,41,13
RUDRAPUR,1259,2948,352,8
SADI,881,50,7,12
SALJHANDI,576,1061,672,10
SEMARA MARCHAWAR,871,45,32,24
SEMLAR,511,575,1085,5
SHANKAR NAGAR,17,4050,1258,30
SIDDHARTHANAGAR MUNICIPALITY,2169,9160,1050,118
SIKTAHAN,1355,351,114,23
SILAUTIYA,1241,26,2,25
SIPAWA,946,25,1,5
SAURAHA PHARSATIKAR,516,560,916,0
SURYAPURA,2611,362,229,10
TENUHAWA,1121,190,106,18
THUMHAWA PIPARHAWA,548,39,3,2
TIKULIGADH,905,1241,442,4
TOTAL,67952,72088,22527,1268
