VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ANARMANI,380,3413,4234,1512,619,77
ARJUNDHARA,77,857,1161,2075,384,6
BAHUNDANGI,370,1071,876,2897,228,37
BAIGUNDHURA,6,130,93,743,276,3
BALUBADI,4,58,78,991,112,3
BANIYANI,6,138,229,1030,39,2
BHADRAPUR MUNICIPALITY,210,2304,542,873,256,63
BUDHABARE,83,1185,1313,2308,236,145
CHAKCHAKI,152,508,127,782,617,10
CHANDRAGADHI,348,1714,1005,993,440,14
CHARPANE,77,1537,1280,909,341,14
DAMAK MUNICIPALITY,287,4771,5078,6741,913,314
DANGIBARI,39,263,356,827,269,4
DHAIJAN,102,424,539,836,289,14
DHARAMPUR,156,293,212,2400,142,15
DUWAGADHI,106,1021,609,546,299,10
GARAMANI,272,1278,685,1905,570,15
GAURADAHA,213,911,316,1755,297,22
GAURIGANJ,9,180,110,1350,642,11
GHAILADUBBA,120,574,772,1112,383,8
GHERABARI,2,63,48,1147,204,16
GOLDHAP,38,464,114,987,91,7
HALDIBARI,58,307,167,1003,255,2
JALTHAL,16,401,119,2162,216,8
JUROPANI,16,450,155,1460,499,9
JYAMIRGADHI,39,692,404,480,456,5
KECHANA,2,156,46,755,324,1
KHAJURGACHHI,6,187,79,1442,315,7
KHUDUNABARI,38,287,435,2557,120,20
KOHABARA,51,109,71,1894,209,9
KOROBARI,20,17,44,896,281,2
KUMARKHOD,22,175,57,1085,585,7
LAKHANPUR,241,913,342,2941,223,35
MAHABHARA,6,94,27,1285,123,7
MAHARANIJHODA,7,229,179,1737,214,7
MAHESHPUR,27,621,301,1340,553,11
MECHINAGAR MUNICIPALITY,684,5124,3372,2881,1072,48
PANCHGACHHI,163,231,55,1570,347,9
PATHAMARI,3,73,2,522,350,5
PATHARIYA,50,241,180,1786,68,8
PRITHIVINAGAR,14,477,817,2256,83,8
RAJGADH,7,171,237,2590,430,9
SANISCHARE,303,1575,1260,1930,525,13
SATASIDHAM,140,943,730,4142,77,40
SHANTINAGAR,477,917,572,2035,210,17
SHARANAMATI,7,431,179,1738,721,16
SHIVAGANJ,199,418,212,2040,143,18
SURUNGA,168,1779,1334,2752,399,25
TAGHANDUBBA,254,185,71,1129,430,6
TOPGACHHI,120,779,492,3841,306,23
TOTAL,6195,41139,31716,86968,17181,1185
