VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,106668,686722,351079,335643,6.437938275771553,104.59893398640818
AJAGABI,548,3785,1987,1798,6.906934306569343,110.51167964404894
AKOLAWA,929,7186,3590,3596,7.735199138858988,99.83314794215795
AURAIYA,1648,10832,5630,5202,6.572815533980583,108.22760476739714
BADHARWA,802,4949,2616,2333,6.170822942643391,112.13030432918988
BAGAHI,973,5837,3003,2834,5.998972250770812,105.96330275229357
BALUWA MADANPUR,375,2414,1246,1168,6.437333333333333,106.67808219178083
BAIRIYA,624,5098,2560,2538,8.169871794871796,100.86682427107958
BANJARAHA,410,2998,1550,1448,7.31219512195122,107.04419889502763
BARIYARPUR,1190,8305,4247,4058,6.9789915966386555,104.65746673238047
BASANTAPATTI,1096,7733,4027,3706,7.055656934306569,108.6616297895305
BASATPUR,890,5453,2875,2578,6.126966292134831,111.52055857253684
BASBITI JINGADIYA,878,6388,3296,3092,7.275626423690205,106.59767141009056
BHALOHIYA(PIPRA),805,4877,2548,2329,6.0583850931677015,109.4031773293259
BHEDIYAHI,466,3436,1768,1668,7.373390557939914,105.99520383693046
BIRTIPRASTOKA,645,4173,2157,2016,6.469767441860465,106.99404761904762
BISHRAMPUR,1869,11948,6152,5796,6.392723381487427,106.14216701173223
BISUNPURWA MANPUR,586,4013,2121,1892,6.848122866894198,112.10359408033827
BRAHMAPURI,698,4153,2147,2006,5.9498567335243555,107.02891326021935
CHANDRANIGAHAPUR,5015,26163,13030,13133,5.216949152542373,99.21571613492728
DEBAHI,998,6926,3551,3375,6.939879759519038,105.2148148148148
DHARAMPUR,1390,9067,4765,4302,6.523021582733813,110.7624360762436
DHARHARI,440,2843,1465,1378,6.461363636363636,106.31349782293178
DIPAHI,619,3896,2010,1886,6.294022617124394,106.57476139978792
DUMARIYA(MATIAUNA),2759,15448,7651,7797,5.599130119608554,98.12748493010132
DUMRIYA(PAROHA),658,4340,2149,2191,6.595744680851064,98.08306709265176
FATUHA MAHESHPUR,746,4605,2063,2542,6.172922252010724,81.15656963021243
FATUWA HARSAHA,708,4205,2087,2118,5.9392655367231635,98.53635505193579
GADHI BHANAWANPUR,145,901,443,458,6.213793103448276,96.72489082969432
GAMHARIYA BIRTA,1059,7766,3912,3854,7.333333333333333,101.50492994291645
GAMHARIYA PARSA,909,6523,3250,3273,7.176017601760176,99.29728078215703
GANGAPIPARA,564,3346,1769,1577,5.932624113475177,112.17501585288522
GARUDA BAIRIYA,741,4708,2515,2193,6.35357624831309,114.68308253533972
GAUR MUNICIPALITY,5635,34937,18290,16647,6.2,109.86964618249534
GEDAHIGUTHI,709,4719,2392,2327,6.655853314527503,102.79329608938548
HADIRYA PALTUWA,671,4174,2145,2029,6.220566318926974,105.71710202069985
HAJMINIYA,756,4623,2410,2213,6.115079365079365,108.90194306371441
HATHIYAHI,759,5296,2719,2577,6.977602108036891,105.51028327512613
IHARBARI JYUTAHI,926,6567,3363,3204,7.091792656587473,104.9625468164794
INARUWA,717,4526,2317,2209,6.312412831241283,104.88909008601178
JATAHARA,1172,8891,4441,4450,7.586177474402731,99.79775280898876
JAYANAGAR,796,5692,2905,2787,7.150753768844221,104.23394330821671
JETHRAHIYA,664,4225,2146,2079,6.3629518072289155,103.22270322270322
JHUNKHUNWA,1106,7015,3611,3404,6.342676311030742,106.08108108108108
JINGADAWA BELBICHWA,919,6173,3089,3084,6.717083786724701,100.1621271076524
JOWAHA(JOKAHA),1149,8361,4010,4351,7.276762402088773,92.16272121351413
JUDIBELA,1164,5787,2782,3005,4.971649484536083,92.57903494176372
KAKANPUR,1619,10023,5008,5015,6.1908585546633725,99.86041874376869
