VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AJAGABI,924,792,543,380,266,336,115,76
AKOLAWA,1740,1710,399,340,1321,1352,20,18
AURAIYA,2455,2278,1362,1039,974,1042,119,197
BADHARWA,1131,1038,652,454,219,215,260,369
BAGAHI,1290,1356,708,554,572,790,10,12
BALUWA MADANPUR,530,515,281,205,142,130,107,180
BAIRIYA,1203,1254,300,271,896,971,7,12
BANJARAHA,729,665,317,229,406,432,6,4
BARIYARPUR,1907,1891,903,802,742,762,262,327
BASANTAPATTI,1813,1678,713,528,992,1060,108,90
BASATPUR,1183,1112,699,568,465,528,19,16
BASBITI JINGADIYA,1622,1548,624,423,918,1055,80,70
BHALOHIYA(PIPRA),1034,935,481,353,542,574,11,8
BHEDIYAHI,777,830,289,181,478,640,10,9
BIRTIPRASTOKA,955,915,546,424,400,481,9,10
BISHRAMPUR,2585,2677,1412,1081,722,1006,451,590
BISUNPURWA MANPUR,1048,927,344,200,350,363,354,364
BRAHMAPURI,804,868,452,427,240,308,112,133
CHANDRANIGAHAPUR,5281,5503,3579,3315,1416,1781,286,407
DEBAHI,1548,1503,759,535,733,899,56,69
DHARAMPUR,2275,2081,550,347,1488,1521,237,213
DHARHARI,621,646,422,327,193,312,6,7
DIPAHI,870,856,547,425,311,417,12,14
DUMARIYA(MATIAUNA),3066,3256,1787,1645,914,1123,365,488
DUMRIYA(PAROHA),941,963,453,347,337,427,151,189
FATUHA MAHESHPUR,1014,1298,345,353,139,183,530,762
FATUWA HARSAHA,890,934,543,477,287,350,60,107
GADHI BHANAWANPUR,206,216,72,43,104,164,30,9
GAMHARIYA BIRTA,1867,1920,481,344,951,1136,435,440
GAMHARIYA PARSA,1582,1670,526,385,655,732,401,553
GANGAPIPARA,772,673,413,310,280,285,79,78
GARUDA BAIRIYA,1074,951,772,582,236,286,66,83
GAUR MUNICIPALITY,7710,7138,4603,3825,2329,2491,778,822
GEDAHIGUTHI,1124,1120,557,490,511,570,56,60
HADIRYA PALTUWA,925,940,400,261,407,546,118,133
HAJMINIYA,974,948,509,389,336,400,129,159
HATHIYAHI,1279,1228,661,549,573,650,45,29
IHARBARI JYUTAHI,1511,1433,738,523,721,843,52,67
INARUWA,1000,1028,505,375,408,524,87,129
JATAHARA,2076,2174,757,659,1148,1271,171,244
JAYANAGAR,1478,1473,486,327,977,1140,15,6
JETHRAHIYA,958,967,524,409,391,502,43,56
JHUNKHUNWA,1526,1512,842,693,481,590,203,229
JINGADAWA BELBICHWA,1494,1461,497,330,968,1108,29,23
JOWAHA(JOKAHA),2041,2261,714,582,1092,1427,235,252
JUDIBELA,1156,1205,812,746,290,331,54,128
KAKANPUR,2216,2429,1068,1038,805,980,343,411
KARKACH KARMAIYA,1752,1606,818,538,921,1063,13,5
KARUNIYA,1965,1864,528,406,1028,995,409,463
KATAHARIYA,2338,2270,1373,1012,952,1239,13,19
KHESARHIYA,642,596,362,286,244,258,36,52
LAXMINIYA DO.,2488,2588,1633,1469,811,1080,44,39
LAXMIPUR (DO.),1734,1712,889,644,788,986,57,82
LAXMIPUR BELBICHAWA,858,738,512,385,331,337,15,16
LOKAHA,1171,1192,516,361,552,741,103,90
MADHOPUR,1754,1649,876,531,691,865,187,253
MAHAMADPUR,1968,1845,1131,788,552,637,285,420
MALAHI,669,659,269,190,342,422,58,47
MARYADPUR,1335,1238,484,329,600,674,251,235
MASEDAWA,1573,1579,897,692,542,778,134,109
MATHIYA,1471,1369,544,464,345,365,582,540
MATSARI,865,813,544,417,321,391,0,5
MITHUAWA,946,872,410,336,460,478,76,58
MUDWALAWA,948,872,562,431,366,428,20,13
NARKATIYA GUTHI,1829,1808,838,596,966,1190,25,22
PACHARUKHI,1228,1112,720,468,444,593,64,51
