VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AMBUNG,682,752,529,511,147,229,6,12
ANGDEEM,352,412,274,282,75,129,3,1
BASANTAPUR,889,954,708,690,173,249,8,15
CHHATE DHUNGA,601,693,472,504,129,187,0,2
CHUHANDANDA,628,714,396,432,178,233,54,49
DANGAPA,446,611,344,434,98,174,4,3
ESEEBU,487,541,398,395,84,145,5,1
EWA,625,710,495,510,126,197,4,3
HAMARJUNG,628,685,496,499,131,181,1,5
HWAKU,604,664,465,461,122,177,17,26
JALJALE,620,683,505,485,112,197,3,1
JIRIKHIMTI,551,615,462,444,86,164,3,7
KHAMLALUNG,569,624,424,431,127,171,18,22
MORAHANG,638,729,490,518,136,192,12,19
MYANGLUNG,1141,1231,992,922,142,301,7,8
OKHRE,751,731,514,465,191,230,46,36
OYAKJUNG,938,1025,657,664,271,356,10,5
PANCHAKANYA POKHARI,406,473,316,344,88,129,2,0
PHAKCHAMARA,422,504,322,358,77,123,23,23
PHULEK,303,333,250,247,50,82,3,4
PIPLE,232,269,187,192,42,75,3,2
POUTHAK,378,455,310,329,65,125,3,1
SABLA,456,462,364,345,77,96,15,21
SAMDU,437,468,325,331,91,110,21,27
SANKRANTI BAZAR,525,604,410,437,110,158,5,9
SHREE JUNG,415,500,290,334,125,166,0,0
SIMLE,824,931,610,636,199,289,15,6
SOLMA,791,859,654,654,134,201,3,4
SUDAP,577,671,448,494,128,175,1,2
SUNGNAM,723,767,579,558,143,200,1,9
TAMFULA,349,392,292,288,57,104,0,0
THOKLUNG,465,528,349,377,114,146,2,5
INSTITUTIONAL,124,26,41,21,83,4,0,1
