VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AMBUNG,747,1,40,0,0,0,0,2
ANGDEEM,440,0,0,0,1,0,0,2
BASANTAPUR,939,8,159,0,0,3,1,1
CHHATE DHUNGA,645,2,0,3,5,0,0,6
CHUHANDANDA,760,8,1,1,0,0,0,1
DANGAPA,495,0,0,0,0,0,0,0
ESEEBU,608,5,0,0,2,0,0,1
EWA,691,3,2,0,1,0,0,4
HAMARJUNG,696,7,27,0,0,0,0,1
HWAKU,640,0,0,2,2,0,0,0
JALJALE,755,1,0,0,1,0,0,1
JIRIKHIMTI,667,4,70,1,0,0,0,2
KHAMLALUNG,614,0,0,1,0,0,0,0
MORAHANG,776,1,2,0,0,2,0,3
MYANGLUNG,994,3,674,0,8,2,6,3
OKHRE,793,1,5,0,2,0,0,6
OYAKJUNG,995,5,2,2,2,0,0,1
PANCHAKANYA POKHARI,450,1,0,0,0,0,0,4
PHAKCHAMARA,524,1,2,2,0,0,0,0
PHULEK,331,1,3,0,0,0,0,6
PIPLE,331,0,0,0,0,0,0,0
POUTHAK,470,2,1,0,1,0,0,1
SABLA,509,0,48,1,4,2,3,1
SAMDU,499,1,0,1,1,0,0,2
SANKRANTI BAZAR,677,1,1,0,0,0,0,3
SHREE JUNG,532,0,0,0,0,0,1,2
SIMLE,903,5,2,2,0,0,0,7
SOLMA,894,0,2,0,0,2,0,2
SUDAP,668,0,1,1,0,0,0,1
SUNGNAM,826,0,2,0,0,1,0,1
TAMFULA,428,1,38,1,2,2,0,0
THOKLUNG,496,1,0,1,0,0,0,6
TOTAL,20793,63,1082,19,32,14,11,70
