VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AMBUNG,747,39,1,1,0,2
ANGDEEM,413,28,0,0,0,2
BASANTAPUR,1060,47,1,1,1,1
CHHATE DHUNGA,10,217,2,307,119,6
CHUHANDANDA,15,380,2,205,168,1
DANGAPA,339,149,6,1,0,0
ESEEBU,189,164,3,176,83,1
EWA,40,249,1,312,95,4
HAMARJUNG,644,82,2,1,1,1
HWAKU,432,96,3,97,16,0
JALJALE,405,93,2,242,15,1
JIRIKHIMTI,711,28,2,1,0,2
KHAMLALUNG,347,239,1,14,14,0
MORAHANG,594,152,2,25,8,3
MYANGLUNG,1616,65,1,1,4,3
OKHRE,486,244,8,63,0,6
OYAKJUNG,448,424,5,110,19,1
PANCHAKANYA POKHARI,261,174,1,12,3,4
PHAKCHAMARA,319,122,1,86,1,0
PHULEK,308,25,0,2,0,6
PIPLE,313,18,0,0,0,0
POUTHAK,147,276,0,30,21,1
SABLA,517,44,2,4,0,1
SAMDU,403,89,2,7,0,3
SANKRANTI BAZAR,538,111,3,16,11,3
SHREE JUNG,351,141,2,16,23,2
SIMLE,267,333,2,256,54,7
SOLMA,863,31,1,0,3,2
SUDAP,547,119,2,0,2,1
SUNGNAM,754,71,1,0,3,1
TAMFULA,439,27,3,2,1,0
THOKLUNG,310,113,2,57,15,7
TOTAL,14833,4390,64,2045,680,72
