VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ATARPUR,373,406,289,302,81,101,3,3
BADEGAU,981,1068,721,693,237,340,23,35
BANSBARI,923,1085,660,685,197,296,66,104
BANSKHARKA,459,425,288,264,169,153,2,8
BARAMCHI,688,728,539,527,140,176,9,25
BARHABISE,1363,1362,981,927,358,398,24,37
BARUWA,363,366,219,230,139,125,5,11
BATASE,942,1104,702,714,211,353,29,37
BHIMTAR,974,1140,701,692,264,432,9,16
BHOTASIPA,880,1119,671,761,194,328,15,30
BHOTE NAMLANG,813,806,466,382,307,389,40,35
BHOTECHAUR,875,963,672,700,194,253,9,10
CHOKATI,477,577,306,380,165,190,6,7
CHAUTARA,1009,1081,767,802,219,245,23,34
DHUMTHANG,807,897,547,550,216,279,44,68
DUBACHOUR,1184,1286,792,780,377,493,15,13
FATAKSHILA,908,896,588,567,305,319,15,10
FULPINGDANDA,897,985,683,716,189,233,25,36
FULPINGKATTI,718,661,420,415,282,237,16,9
FULPINGKOT,730,850,571,613,143,212,16,25
GATI,892,933,545,553,341,375,6,5
GHORTHALI,368,384,252,239,116,145,0,0
DHUSKUN,479,633,357,447,119,180,3,6
GLOCHE,786,833,541,485,242,346,3,2
GUMBA,810,822,465,436,340,382,5,4
GUNSAKOT,426,399,298,257,86,78,42,64
HAGAM,840,907,614,582,218,321,8,4
HAIBUNG,493,507,331,332,139,149,23,26
HELAMBU,439,512,279,364,134,128,26,20
ICHOK,1104,1114,681,684,394,410,29,20
IRKHU,701,834,514,555,149,238,38,41
JALBIRE,454,505,357,383,90,111,7,11
JETHAL,477,497,352,343,109,139,16,15
JYAMIRE,1149,1278,678,721,433,517,38,40
KADAMBAS,621,799,465,561,151,228,5,10
KALIKA,395,450,313,311,80,130,2,9
KARTHALI,696,720,477,446,207,260,12,14
KIWOOL,504,589,390,437,109,151,5,1
KUBHINDE,577,614,444,428,123,177,10,9
KUNCHOK,795,945,580,600,176,277,39,68
LANGARCHE,510,556,342,354,168,202,0,0
LISANKHU,730,782,583,614,142,166,5,2
LISTIKOT,588,644,392,374,193,264,3,6
MAHANKAL,925,1155,676,828,241,318,8,9
MANESWNARA,632,751,465,518,139,200,28,33
MANKHA,1370,1505,990,1032,359,449,21,24
MARMING,749,741,445,448,299,286,5,7
MELAMCHI,1033,1119,734,737,243,320,56,62
BHOTANG,630,472,406,266,204,194,20,12
NAWALPUR,670,763,491,543,160,196,19,24
PAGRETAR,487,492,351,343,131,147,5,2
PALCHOK,349,384,241,253,105,124,3,7
PANGTANG,542,569,408,366,121,188,13,15
PETAKU,231,292,179,209,52,83,0,0
PIPALDANDA,627,762,460,511,135,208,32,43
PISKAR,487,544,301,333,177,200,9,11
RAMCHE,745,794,530,528,209,252,6,14
SANGACHOK,1865,2231,1429,1592,406,589,30,50
SANUSIRUWARI,530,649,420,491,89,124,21,34
SELANG,570,566,352,334,196,198,22,34
SIKHARPUR,528,534,354,341,155,180,19,13
SINDHUKOT,647,704,460,467,185,236,2,1
SIPA POKHARE,744,835,571,567,170,262,3,6
SIPAL KAVRE,628,637,432,403,191,223,5,11
SUNKHANI,428,525,340,399,65,105,23,21
SYAULE BAZAR,731,822,491,501,211,304,29,17
TALAMARANG,606,695,482,480,118,206,6,9
TATOPANI,1361,1447,838,858,511,575,12,14
TAUTHALI,513,620,351,407,114,166,48,47
TEKANPUR,301,299,250,227,49,70,2,2
THAKANI,681,845,509,517,161,302,11,26
THAMPAL CHHAP,736,707,536,477,191,218,9,12
THANGPALKOT,472,496,336,340,128,149,8,7
THOKARPA,821,950,621,669,198,277,2,4
THULO DHADING,411,438,333,349,76,85,2,4
THULO PAKHAR,458,562,387,449,67,101,4,12
THULO SIRUBARI,1119,1368,926,994,176,342,17,32
THUM PAKHAR,560,666,460,520,77,121,23,25
YAMUNADANDA,285,291,219,209,66,82,0,0
INSTITUTIONAL,726,253,449,220,268,28,9,5
