VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAKU,163,31,768,1
BASA,132,32,511,1
BENI,27,53,313,2
BHAKANJE,115,37,133,0
BUNG,555,14,413,0
CHAULAKHARKA,94,95,240,1
CHAURIKHARKA,77,190,700,1
CHHESKAM,762,11,35,1
DEUSA,165,47,661,2
GARMA,95,206,171,0
GOLI,112,47,293,1
GORAKHANI,44,29,254,1
GUDEL,69,606,194,0
JUBING,89,121,559,0
JUBU,367,41,417,1
KAKU,160,31,636,2
KANGEL,11,406,21,1
KHUMJUNG,27,16,506,2
KERUNG,167,93,612,1
TAMAKHANI,15,185,40,0
LOKHIM,227,488,33,0
PAWAI,151,83,313,3
MUKALI,152,65,317,1
NAMCHE,107,89,284,0
NECHA BATASE,185,152,428,2
NECHA BEDGHARI,163,187,488,0
NELE,36,436,6,6
PANCHAN,154,32,147,0
SALLERI,159,690,821,12
SALYAN,489,142,503,3
SOTANG,412,151,722,3
TAKASINDU,119,59,331,1
TAPTING,75,32,373,0
TINGLA,167,406,321,0
TOTAL,5842,5303,12564,49
