VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BAKU,954,0,0,8,0,1
BASA,669,1,1,1,0,4
BENI,369,0,0,24,0,2
BHAKANJE,269,0,0,15,1,0
BUNG,937,2,1,38,4,0
CHAULAKHARKA,420,0,0,8,0,2
CHAURIKHARKA,848,22,0,94,1,3
CHHESKAM,766,1,0,30,11,1
DEUSA,847,0,0,23,3,2
GARMA,467,0,5,0,0,0
GOLI,435,0,0,16,1,1
GORAKHANI,313,3,0,11,0,1
GUDEL,820,0,1,48,0,0
JUBING,729,2,0,36,1,1
JUBU,799,0,1,25,1,0
KAKU,808,0,0,15,2,4
KANGEL,435,0,0,1,1,2
KHUMJUNG,546,1,1,0,0,3
KERUNG,787,0,0,83,2,1
TAMAKHANI,212,0,0,27,0,1
LOKHIM,705,0,0,42,1,0
PAWAI,536,0,0,9,0,5
MUKALI,517,1,1,10,4,2
NAMCHE,394,71,1,13,0,1
NECHA BATASE,762,0,0,3,0,2
NECHA BEDGHARI,821,2,0,12,1,2
NELE,474,0,0,9,0,1
PANCHAN,330,0,0,3,0,0
SALLERI,1590,6,1,65,4,16
SALYAN,1112,0,1,15,3,6
SOTANG,1231,1,3,44,8,1
TAKASINDU,498,0,0,12,0,0
TAPTING,428,1,2,48,0,1
TINGLA,853,0,0,39,2,0
TOTAL,22681,114,19,827,51,66
