VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
BAKU,4346,2126,2220,2543,1370,1173,129,61,68,1674,695,979,0,0,0,58.51357570179475,64.44026340545625,52.83783783783784
BASA,2932,1410,1522,1952,1051,901,43,22,21,935,336,599,2,1,1,66.57571623465212,74.53900709219859,59.19842312746386
BENI,1452,691,761,1037,576,461,36,15,21,377,100,277,2,0,2,71.41873278236915,83.3574529667149,60.578186596583436
BHAKANJE,1157,575,582,712,412,300,62,27,35,383,136,247,0,0,0,61.53846153846154,71.65217391304348,51.546391752577314
BUNG,3908,1936,1972,2271,1307,964,254,112,142,1380,516,864,3,1,2,58.111566018423744,67.5103305785124,48.88438133874239
CHAULAKHARKA,1858,895,963,1045,569,476,25,14,11,788,312,476,0,0,0,56.243272335845,63.57541899441341,49.428868120456904
CHAURIKHARKA,3371,1701,1670,2287,1307,980,77,49,28,1004,342,662,3,3,0,67.84336991990507,76.83715461493239,58.68263473053892
CHHESKAM,3290,1599,1691,1824,1034,790,141,74,67,1324,491,833,1,0,1,55.44072948328268,64.66541588492808,46.71791839148433
DEUSA,3748,1806,1942,2332,1243,1089,230,107,123,1185,455,730,1,1,0,62.21985058697972,68.82613510520488,56.07621009268795
GARMA,1906,908,998,1132,627,505,106,52,54,668,229,439,0,0,0,59.39139559286464,69.05286343612335,50.60120240480962
GOLI,2022,954,1068,1255,697,558,76,37,39,691,220,471,0,0,0,62.067260138476755,73.06079664570231,52.24719101123596
GORAKHANI,1242,591,651,837,463,374,14,8,6,391,120,271,0,0,0,67.3913043478261,78.34179357021996,57.45007680491552
GUDEL,3753,1873,1880,2429,1347,1082,108,46,62,1212,478,734,4,2,2,64.72155608846256,71.91671115856913,57.5531914893617
JUBING,3082,1505,1577,2020,1125,895,51,27,24,1004,350,654,7,3,4,65.54185593770279,74.75083056478405,56.75332910589728
JUBU,3386,1606,1780,2042,1140,902,53,24,29,1291,442,849,0,0,0,60.3071470761961,70.9838107098381,50.674157303370784
KAKU,3440,1653,1787,2229,1208,1021,190,112,78,1019,332,687,2,1,1,64.79651162790697,73.07924984875983,57.134862898712925
KANGEL,1883,850,1033,1295,677,618,22,10,12,566,163,403,0,0,0,68.77323420074349,79.64705882352942,59.825750242013555
KHUMJUNG,1769,845,924,1080,611,469,25,12,13,664,222,442,0,0,0,61.051441492368575,72.3076923076923,50.75757575757576
KERUNG,3320,1462,1858,2097,1100,997,55,19,36,1166,342,824,2,1,1,63.16265060240964,75.23939808481532,53.659849300322925
TAMAKHANI,943,420,523,628,318,310,30,11,19,285,91,194,0,0,0,66.59597030752916,75.71428571428571,59.273422562141484
LOKHIM,3176,1564,1612,1873,1050,823,91,52,39,1212,462,750,0,0,0,58.9735516372796,67.13554987212275,51.054590570719604
PAWAI,2338,1143,1195,1451,765,686,174,97,77,713,281,432,0,0,0,62.061591103507276,66.92913385826772,57.40585774058577
MUKALI,2223,1037,1186,1504,794,710,54,18,36,664,224,440,1,1,0,67.65632028789923,76.56702025072323,59.86509274873525
NAMCHE,1442,758,684,940,594,346,79,35,44,423,129,294,0,0,0,65.18723994452151,78.3641160949868,50.58479532163743
NECHA BATASE,3082,1458,1624,2107,1132,975,127,71,56,848,255,593,0,0,0,68.36469824789097,77.64060356652949,60.036945812807886
NECHA BEDGHARI,3405,1578,1827,2424,1273,1151,65,28,37,915,277,638,1,0,1,71.18942731277534,80.67173637515843,62.99945265462507
NELE,1970,939,1031,1310,729,581,57,35,22,603,175,428,0,0,0,66.49746192893402,77.63578274760383,56.35305528612997
PANCHAN,1363,651,712,859,454,405,58,35,23,446,162,284,0,0,0,63.02274394717535,69.73886328725038,56.88202247191011
SALLERI,6068,2916,3152,4324,2351,1973,178,89,89,1565,476,1089,1,0,1,71.25906394199077,80.6241426611797,62.59517766497462
SALYAN,4640,2172,2468,3130,1710,1420,82,44,38,1424,417,1007,4,1,3,67.45689655172413,78.72928176795581,57.53646677471637
SOTANG,5238,2579,2659,3176,1776,1400,191,101,90,1870,702,1168,1,0,1,60.63382970599466,68.86390073671966,52.65137269650244
TAKASINDU,1990,971,1019,1213,676,537,62,36,26,712,257,455,3,2,1,60.95477386934674,69.61894953656025,52.69872423945044
TAPTING,1838,847,991,1196,626,570,8,6,2,634,215,419,0,0,0,65.07072905331881,73.90791027154664,57.51765893037336
TINGLA,3556,1584,1972,2352,1223,1129,70,33,37,1132,328,804,2,0,2,66.14173228346458,77.20959595959596,57.251521298174445
INSTITUTIONAL,757,621,136,678,587,91,35,4,31,44,30,14,0,0,0,89.56406869220608,94.52495974235104,66.91176470588235
