VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ALAU,209,112,97,1940,1184,756,771,505,266,432,320,112,138,94,44,200,150,50,94,78,16,17,12,5,1,1,0,60,40,20,3,3,0
AMARPATTI,1,1,0,1112,646,466,518,346,172,195,149,46,222,166,56,80,63,17,38,32,6,10,8,2,3,2,1,25,18,7,5,4,1
AURAHA,127,73,54,1209,732,477,371,262,109,262,216,46,80,53,27,74,60,14,20,18,2,1,1,0,8,6,2,2,2,0,15,6,9
BAGAHI,6,4,2,1539,877,662,546,372,174,266,211,55,138,105,33,96,69,27,23,21,2,1,1,0,1,1,0,1,0,1,4,3,1
BAGBANA,42,25,17,1869,1080,789,796,478,318,375,219,156,231,144,87,188,102,86,58,41,17,12,8,4,4,4,0,69,30,39,40,30,10
BAGESHWARI TITRONA,80,52,28,1375,813,562,448,308,140,199,155,44,135,93,42,86,70,16,29,25,4,1,1,0,4,1,3,47,40,7,12,4,8
BAHAURI PIDARI,50,31,19,1003,614,389,635,436,199,386,300,86,108,92,16,121,96,25,47,39,8,0,0,0,1,1,0,1,1,0,16,7,9
BAHUARBAMATHA,61,30,31,1667,960,707,822,551,271,382,305,77,254,204,50,215,188,27,51,47,4,11,11,0,5,3,2,3,1,2,6,5,1
BASADILWA,315,169,146,1381,828,553,355,271,84,206,157,49,54,41,13,26,22,4,3,2,1,1,1,0,1,1,0,0,0,0,1,0,1
BASANTPUR,64,38,26,1548,925,623,696,520,176,393,335,58,73,62,11,71,57,14,22,21,1,1,1,0,2,2,0,22,10,12,21,15,6
BELWA PARSAUNI,261,153,108,2240,1313,927,762,514,248,362,254,108,172,120,52,141,92,49,57,41,16,8,8,0,8,4,4,33,19,14,20,11,9
BAIRIYA BIRTA (NAU.TA.JA.),26,17,9,1219,695,524,411,281,130,201,156,45,85,64,21,69,53,16,26,25,1,7,6,1,0,0,0,41,18,23,1,0,1
BAIRIYA BIRTA (DA.PU.),29,18,11,1651,951,700,686,488,198,282,214,68,130,107,23,119,104,15,60,50,10,9,9,0,0,0,0,0,0,0,11,5,6
BHAWANIPUR,61,21,40,1981,1127,854,791,600,191,316,270,46,142,115,27,54,44,10,18,15,3,9,8,1,2,1,1,2,0,2,14,6,8
BHEDIHARI,123,68,55,1567,818,749,633,400,233,367,290,77,149,109,40,134,116,18,77,71,6,4,3,1,8,0,8,20,8,12,13,11,2
BHISAWA,119,65,54,1352,751,601,599,400,199,208,162,46,225,153,72,126,96,30,66,53,13,13,11,2,8,3,5,66,41,25,4,2,2
BIJBANIYA,284,147,137,863,514,349,355,269,86,108,100,8,60,52,8,37,30,7,22,22,0,3,3,0,0,0,0,13,11,2,2,1,1
BINDABASINI,43,23,20,1120,646,474,574,378,196,285,211,74,93,70,23,65,50,15,33,24,9,4,4,0,2,0,2,8,3,5,164,97,67
BIRANCHIBARWA,35,16,19,900,518,382,445,266,179,391,300,91,65,48,17,39,36,3,11,9,2,0,0,0,4,3,1,4,0,4,5,3,2
