VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ALAU,156,1030,292,445,86,31,5,7,722,8,183,943,3,6,27
AMARPATTI,16,668,341,204,100,11,0,9,201,4,52,648,0,8,21
AURAHA,97,691,147,229,20,3,0,2,471,0,96,634,8,0,21
BAGAHI,126,831,218,378,40,1,0,0,576,11,83,791,3,3,7
BAGBANA,111,1113,579,643,43,5,1,9,761,6,91,856,17,10,42
BAGESHWARI TITRONA,91,874,177,281,2,6,1,2,578,42,141,813,3,1,32
BAHAURI PIDARI,26,814,376,450,6,5,1,5,539,18,158,768,3,1,18
BAHUARBAMATHA,22,961,181,413,17,10,0,6,501,10,143,918,0,3,29
BASADILWA,48,828,144,264,38,4,0,5,508,6,108,791,41,2,27
BASANTPUR,69,1057,257,319,11,4,5,3,631,11,136,999,23,3,31
BELWA PARSAUNI,112,1199,166,454,152,11,1,5,634,5,137,1098,4,1,59
BAIRIYA BIRTA (NAU.TA.JA.),95,701,145,262,0,5,1,1,326,3,59,645,8,0,4
BAIRIYA BIRTA (DA.PU.),18,875,350,583,3,6,0,1,636,2,88,784,10,0,15
BHAWANIPUR,25,809,130,525,135,17,4,8,633,9,164,769,10,8,13
BHEDIHARI,182,647,208,262,4,8,1,4,446,13,106,579,13,5,17
BHISAWA,172,573,152,338,6,9,1,13,335,44,99,380,25,16,84
BIJBANIYA,50,462,95,106,1,5,0,0,303,4,78,433,10,0,0
BINDABASINI,9,751,264,336,3,5,0,6,450,6,65,728,2,1,17
BIRANCHIBARWA,79,470,135,179,18,7,1,0,405,14,71,415,8,8,9
BIRGUNJ SUB-METROPOLITAN CITY,1002,22692,7361,13838,11813,3584,1310,3032,18373,898,6261,12311,109,4059,470
BIRWAGUTHI,155,2122,879,1016,142,34,3,11,1498,10,190,1890,31,20,73
BISHRAMPUR,20,947,262,463,65,5,2,7,682,8,120,898,9,4,18
CHORNI,164,1170,363,536,415,33,8,34,847,26,210,939,8,22,36
DEUKHANA,140,570,169,208,0,4,0,4,431,1,92,510,9,2,9
DHAUBINI,235,456,36,90,0,3,0,1,317,10,34,424,4,0,18
DHORE,165,510,118,259,0,7,4,6,160,3,61,465,2,2,51
GADI,88,678,383,256,0,4,0,4,438,0,56,556,7,1,16
GAMHARIYA,56,544,131,206,55,6,1,2,279,24,68,521,14,2,2
GHAUDHDAUR PIPARA,55,418,95,167,0,2,0,2,264,6,62,375,11,0,15
GOVINDAPUR,31,411,17,71,1,0,0,7,257,2,50,397,13,0,1
HARIHARPUR (NAU.TA.JA.),60,647,95,151,17,4,1,1,374,1,62,608,1,2,2
HARIHARPUR BIRTA,48,345,74,95,1,5,1,4,184,2,39,319,1,0,13
HARPATAGUNJ,17,592,239,292,24,14,4,4,274,9,104,567,1,5,7
HARPUR,148,853,322,287,16,3,0,7,555,2,96,765,8,1,6
JAGARNATHPUR,210,761,395,179,2,12,1,2,401,8,89,692,33,1,96
JAIMANGALAPUR,211,568,207,25,0,3,0,2,238,0,20,469,7,0,31
JANAKITOLA,92,513,160,57,0,1,0,4,312,19,61,368,25,0,11
JEETPUR,138,809,280,285,53,9,0,4,410,2,126,719,7,3,5
JHOUWA GUTHI,67,921,266,290,53,11,2,7,566,9,74,856,14,3,5
KAUWA BAN KATAIYA,77,550,120,221,3,10,2,12,429,11,99,487,17,2,15
LAHAWARTHAKARI,80,442,83,165,2,5,2,3,378,2,63,396,5,0,1
LAKHANPUR,72,667,330,186,16,8,6,7,363,9,58,623,11,7,18
LAL PARSA,51,561,135,336,165,8,0,12,399,5,77,517,5,2,4
LANGADI,82,423,102,156,6,3,0,0,180,1,49,371,1,0,20
LIPANI BIRTA,45,898,240,519,146,24,7,24,757,21,164,788,7,15,27
MADHUBAN MATHAUL,152,1083,530,505,136,7,0,6,705,2,113,920,23,1,11
MAHADEVPATTI,204,936,280,305,9,0,0,0,477,0,103,840,8,2,67
MAHUWAN,51,688,201,239,7,8,0,5,359,20,120,616,3,1,22
MAINPUR (PAKAHA),102,375,113,80,0,10,2,7,133,3,34,348,5,2,0
MANIYARI,96,817,218,464,3,9,2,5,414,4,148,728,10,2,21
MASIHANI,112,850,192,130,2,8,0,2,457,8,61,824,2,0,6
BHIKHAMPUR,58,640,79,117,10,1,1,4,271,3,109,596,27,0,10
MIRJAPUR,171,506,179,63,2,6,1,2,201,6,87,455,7,0,13
MUDALI,73,708,283,225,3,2,1,12,594,5,121,620,5,0,42
NAGARDAHA,22,458,270,299,4,14,1,5,352,13,98,428,13,2,5
NICHUTA,118,897,237,385,5,7,1,14,661,13,187,774,19,13,45
NIRMAL BASTI,259,1744,1457,463,35,10,4,27,961,3,137,1057,44,2,52
PACHARUKHI,58,717,359,304,19,2,0,0,351,4,74,672,13,3,17
PARSAUNI BIRTA,63,659,184,397,21,25,0,10,528,20,112,577,1,10,13
PRASAUNI MATHA,32,801,156,182,1,3,0,2,497,12,56,776,6,4,33
PIDARIGUTHI,130,672,106,78,15,3,0,1,304,6,78,631,47,3,15
POKHARIYA,132,868,231,353,12,12,2,13,536,9,108,787,29,4,15
PRASURAMPUR,40,348,173,193,2,3,0,13,267,1,51,319,13,6,21
RAMGADHAWA,62,911,207,635,120,42,6,15,648,15,236,724,5,27,23
RAMNAGARI,35,475,148,185,20,8,0,1,329,3,52,446,12,0,0
SABAITHAWA,62,609,99,225,5,1,1,0,470,4,75,545,1,1,9
SAKHUWA PRASAUNI,99,1075,614,411,23,4,1,2,698,8,146,980,12,2,30
SAMJHAUTA,165,654,239,78,1,5,0,3,503,9,78,565,9,0,173
SHANKAR SARAIYA,152,589,325,117,6,0,0,1,389,1,83,458,17,0,30
SEDHAWA,61,542,219,283,9,3,0,4,344,6,93,389,6,2,6
SHIBARWA,60,838,194,243,3,2,0,7,633,16,66,815,2,1,35
SIRSIYA KHALWATOLA,47,751,244,529,4,10,2,3,521,7,112,705,3,1,30
SONBARSA,155,938,438,325,2,9,0,6,602,10,192,838,14,2,21
SREESIYA (NAU.TA.JA.),33,493,61,179,0,2,0,1,319,3,47,455,0,0,1
SUBARNAPUR,81,679,489,399,29,6,0,4,406,1,46,508,13,5,14
SUGAULI BIRTA,49,840,262,422,126,32,7,3,723,12,108,772,4,14,9
SUGAULI PARTEWA,92,884,178,232,96,8,0,14,362,1,159,813,30,3,70
SUPAULI,86,490,127,148,0,2,0,5,266,9,91,431,4,0,2
SURJAHA,45,561,186,192,14,10,0,4,290,17,54,526,10,0,26
THORI,174,1233,1080,377,11,6,1,14,923,4,76,203,5,0,11
TULASI BARWA,153,507,155,109,2,1,0,0,280,0,45,465,2,1,2
UDAYAPUR GHURMI,77,999,394,312,9,14,3,8,715,1,167,922,34,0,9
VAURATAR,119,1175,388,406,76,2,0,3,685,16,163,1130,0,1,39
