VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ALAU,59,409,38,679,1,27
AMARPATTI,12,253,2,424,4,10
AURAHA,5,112,6,677,1,8
BAGAHI,7,144,4,800,0,9
BAGBANA,1,76,55,1128,0,6
BAGESHWARI TITRONA,5,107,4,880,0,1
BAHAURI PIDARI,3,174,2,661,0,18
BAHUARBAMATHA,7,287,2,677,21,18
BASADILWA,1,95,7,793,0,7
BASANTPUR,66,236,3,838,0,14
BELWA PARSAUNI,56,234,15,1049,0,16
BAIRIYA BIRTA (NAU.TA.JA.),52,100,13,627,5,3
BAIRIYA BIRTA (DA.PU.),8,200,42,653,0,5
BHAWANIPUR,14,395,8,423,1,6
BHEDIHARI,16,227,11,586,0,6
BHISAWA,33,285,34,464,4,9
BIJBANIYA,5,72,14,420,0,1
BINDABASINI,6,262,2,501,0,6
BIRANCHIBARWA,12,160,1,354,28,3
BIRGUNJ SUB-METROPOLITAN CITY,965,16498,4257,1925,61,458
BIRWAGUTHI,42,255,77,1943,5,28
BISHRAMPUR,6,223,7,730,17,2
CHORNI,60,421,16,851,0,22
DEUKHANA,4,62,2,645,1,5
DHAUBINI,55,120,3,524,0,7
DHORE,11,181,30,488,0,16
GADI,5,34,2,741,0,0
GAMHARIYA,1,181,1,407,2,10
GHAUDHDAUR PIPARA,9,128,10,340,0,1
GOVINDAPUR,38,70,0,334,1,0
HARIHARPUR (NAU.TA.JA.),27,130,22,512,0,18
HARIHARPUR BIRTA,22,78,9,268,2,27
HARPATAGUNJ,20,336,11,245,0,4
HARPUR,3,22,23,954,0,5
JAGARNATHPUR,48,115,3,855,0,46
JAIMANGALAPUR,70,146,3,491,86,14
JANAKITOLA,4,187,1,413,1,10
JEETPUR,4,202,34,699,2,11
JHOUWA GUTHI,16,334,31,605,2,5
KAUWA BAN KATAIYA,7,76,1,557,0,1
LAHAWARTHAKARI,10,66,1,437,1,8
LAKHANPUR,20,56,23,650,0,8
LAL PARSA,104,229,1,268,0,14
LANGADI,27,128,1,365,0,4
LIPANI BIRTA,43,456,20,429,2,20
MADHUBAN MATHAUL,4,31,12,1183,2,14
MAHADEVPATTI,10,113,16,903,159,6
MAHUWAN,8,95,36,610,0,12
MAINPUR (PAKAHA),1,78,0,353,0,45
MANIYARI,21,319,15,575,0,4
MASIHANI,14,136,1,808,0,9
BHIKHAMPUR,4,146,0,545,0,13
MIRJAPUR,40,137,7,491,0,15
MUDALI,1,210,14,578,2,18
NAGARDAHA,2,141,0,338,0,4
NICHUTA,2,196,32,819,0,11
NIRMAL BASTI,124,153,15,1752,1,10
PACHARUKHI,0,55,18,711,0,8
PARSAUNI BIRTA,33,372,11,309,0,10
PRASAUNI MATHA,6,213,19,606,13,9
PIDARIGUTHI,5,120,10,675,0,7
POKHARIYA,11,286,11,700,0,7
PRASURAMPUR,7,95,8,280,1,18
RAMGADHAWA,61,580,112,168,65,10
RAMNAGARI,14,118,8,368,0,2
SABAITHAWA,15,175,2,484,2,2
SAKHUWA PRASAUNI,8,80,5,1088,1,22
SAMJHAUTA,50,216,8,690,1,27
SHANKAR SARAIYA,4,58,22,675,1,11
SEDHAWA,5,112,2,481,0,9
SHIBARWA,6,129,8,785,0,5
SIRSIYA KHALWATOLA,42,393,12,345,0,36
SONBARSA,8,63,9,1019,0,15
SREESIYA (NAU.TA.JA.),7,88,0,432,0,0
SUBARNAPUR,3,69,9,681,1,11
SUGAULI BIRTA,10,448,44,393,2,1
SUGAULI PARTEWA,2,93,20,927,1,3
SUPAULI,4,75,2,492,3,2
SURJAHA,16,129,0,481,0,6
THORI,47,58,5,1304,0,4
TULASI BARWA,48,119,2,481,7,5
UDAYAPUR GHURMI,10,162,2,899,2,10
VAURATAR,9,277,27,1001,0,19
TOTAL,2651,30900,5376,54740,512,1337
