VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ALAU,951,169,67,26
AMARPATTI,545,91,60,9
AURAHA,743,44,19,3
BAGAHI,834,30,90,10
BAGBANA,1063,100,97,6
BAGESHWARI TITRONA,949,21,26,1
BAHAURI PIDARI,752,54,40,12
BAHUARBAMATHA,757,92,151,12
BASADILWA,837,16,40,10
BASANTPUR,1031,78,33,15
BELWA PARSAUNI,1073,90,189,18
BAIRIYA BIRTA (NAU.TA.JA.),724,65,9,2
BAIRIYA BIRTA (DA.PU.),745,101,47,15
BHAWANIPUR,707,124,8,8
BHEDIHARI,502,127,212,5
BHISAWA,568,193,65,3
BIJBANIYA,492,14,6,0
BINDABASINI,595,133,45,4
BIRANCHIBARWA,479,67,10,2
BIRGUNJ SUB-METROPOLITAN CITY,2853,17671,3307,333
BIRWAGUTHI,1795,267,258,30
BISHRAMPUR,750,129,104,2
CHORNI,1007,272,73,18
DEUKHANA,657,15,43,4
DHAUBINI,632,43,27,7
DHORE,577,125,4,20
GADI,670,12,100,0
GAMHARIYA,529,51,13,9
GHAUDHDAUR PIPARA,448,38,0,2
GOVINDAPUR,385,46,12,0
HARIHARPUR (NAU.TA.JA.),650,29,19,11
HARIHARPUR BIRTA,362,26,9,9
HARPATAGUNJ,450,137,25,4
HARPUR,939,18,48,2
JAGARNATHPUR,933,65,20,49
JAIMANGALAPUR,764,17,17,12
JANAKITOLA,511,22,74,9
JEETPUR,830,77,36,9
JHOUWA GUTHI,796,160,34,3
KAUWA BAN KATAIYA,513,44,84,1
LAHAWARTHAKARI,478,34,5,6
LAKHANPUR,705,19,25,8
LAL PARSA,459,84,59,14
LANGADI,464,28,30,3
LIPANI BIRTA,610,56,290,14
MADHUBAN MATHAUL,1129,66,45,6
MAHADEVPATTI,1147,23,32,5
MAHUWAN,660,38,52,11
MAINPUR (PAKAHA),384,22,26,45
MANIYARI,795,66,68,5
MASIHANI,936,12,11,9
BHIKHAMPUR,643,52,8,5
MIRJAPUR,597,55,27,11
MUDALI,665,84,56,18
NAGARDAHA,374,24,82,5
NICHUTA,942,66,38,14
NIRMAL BASTI,1618,317,113,7
PACHARUKHI,763,15,8,6
PARSAUNI BIRTA,568,135,24,8
PRASAUNI MATHA,772,65,20,9
PIDARIGUTHI,785,16,10,6
POKHARIYA,841,122,45,7
PRASURAMPUR,328,56,5,20
RAMGADHAWA,484,448,56,8
RAMNAGARI,383,40,83,4
SABAITHAWA,475,78,125,2
SAKHUWA PRASAUNI,1122,28,36,18
SAMJHAUTA,852,73,41,26
SHANKAR SARAIYA,744,7,10,10
SEDHAWA,559,22,22,6
SHIBARWA,874,38,18,3
SIRSIYA KHALWATOLA,670,99,36,23
SONBARSA,1036,55,9,14
SREESIYA (NAU.TA.JA.),470,44,13,0
SUBARNAPUR,364,222,180,8
SUGAULI BIRTA,660,194,40,4
SUGAULI PARTEWA,951,32,61,2
SUPAULI,544,30,2,2
SURJAHA,531,58,38,5
THORI,828,322,265,3
TULASI BARWA,583,27,47,5
UDAYAPUR GHURMI,755,55,266,9
VAURATAR,1130,121,56,26
TOTAL,62076,24321,8004,1115
