VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ALAU,969,4,36,174,2,1,1,26
AMARPATTI,493,4,0,198,0,0,0,10
AURAHA,500,8,3,294,1,0,0,3
BAGAHI,945,6,0,3,0,0,0,10
BAGBANA,1194,53,3,0,9,0,1,6
BAGESHWARI TITRONA,967,7,0,22,0,0,0,1
BAHAURI PIDARI,839,2,2,2,0,1,0,12
BAHUARBAMATHA,953,10,2,35,0,0,0,12
BASADILWA,839,2,0,50,0,0,0,12
BASANTPUR,879,6,1,255,1,0,0,15
BELWA PARSAUNI,1318,12,13,4,4,0,1,18
BAIRIYA BIRTA (NAU.TA.JA.),527,21,0,246,1,2,1,2
BAIRIYA BIRTA (DA.PU.),888,0,0,4,1,0,0,15
BHAWANIPUR,828,3,7,1,0,0,0,8
BHEDIHARI,445,8,5,381,0,0,2,5
BHISAWA,468,8,31,318,0,0,1,3
BIJBANIYA,92,2,1,417,0,0,0,0
BINDABASINI,768,2,3,0,0,0,0,4
BIRANCHIBARWA,24,1,11,518,2,0,0,2
BIRGUNJ SUB-METROPOLITAN CITY,9021,385,14289,95,15,13,13,333
BIRWAGUTHI,2155,7,37,2,118,0,1,30
BISHRAMPUR,701,16,3,262,1,0,0,2
CHORNI,1177,14,123,22,0,14,2,18
DEUKHANA,708,5,1,1,0,0,0,4
DHAUBINI,44,2,0,655,1,0,0,7
DHORE,555,8,20,123,0,0,0,20
GADI,769,5,1,0,7,0,0,0
GAMHARIYA,587,6,0,0,0,0,0,9
GHAUDHDAUR PIPARA,177,7,0,301,1,0,0,2
GOVINDAPUR,88,12,0,342,1,0,0,0
HARIHARPUR (NAU.TA.JA.),24,10,1,659,2,0,2,11
HARIHARPUR BIRTA,271,7,2,114,1,0,0,11
HARPATAGUNJ,587,10,9,4,2,0,0,4
HARPUR,996,6,1,2,0,0,0,2
JAGARNATHPUR,469,22,7,514,5,0,1,49
JAIMANGALAPUR,277,16,0,505,0,0,0,12
JANAKITOLA,342,9,3,251,1,0,0,10
JEETPUR,929,11,2,0,0,0,1,9
JHOUWA GUTHI,600,13,3,346,2,0,26,3
KAUWA BAN KATAIYA,510,22,1,108,0,0,0,1
LAHAWARTHAKARI,81,10,2,413,0,0,11,6
LAKHANPUR,498,5,4,226,0,1,15,8
LAL PARSA,593,1,1,3,3,0,1,14
LANGADI,480,1,0,40,0,0,1,3
LIPANI BIRTA,892,2,62,0,0,0,0,14
MADHUBAN MATHAUL,1227,1,6,0,6,0,0,6
MAHADEVPATTI,1053,12,0,67,1,0,69,5
MAHUWAN,533,3,5,204,0,0,5,11
MAINPUR (PAKAHA),33,27,10,353,9,0,0,45
MANIYARI,777,3,7,142,0,0,0,5
MASIHANI,264,2,1,689,3,0,0,9
BHIKHAMPUR,192,3,1,505,2,0,0,5
MIRJAPUR,428,7,1,242,1,0,0,11
MUDALI,389,3,7,396,6,1,3,18
NAGARDAHA,467,3,2,8,0,0,0,5
NICHUTA,692,6,9,329,4,0,6,14
NIRMAL BASTI,1991,27,11,6,13,0,0,7
PACHARUKHI,752,5,1,28,0,0,0,6
PARSAUNI BIRTA,719,2,6,0,0,0,0,8
PRASAUNI MATHA,297,11,5,491,2,0,51,9
PIDARIGUTHI,345,5,0,458,0,0,3,6
POKHARIYA,657,6,6,324,0,0,15,7
PRASURAMPUR,158,0,2,229,0,0,0,20
RAMGADHAWA,849,9,119,11,0,0,0,8
RAMNAGARI,504,0,0,1,0,0,0,5
SABAITHAWA,441,7,5,219,0,0,6,2
SAKHUWA PRASAUNI,1172,11,1,2,0,0,0,18
SAMJHAUTA,498,23,0,439,0,0,6,26
SHANKAR SARAIYA,752,8,0,1,0,0,0,10
SEDHAWA,590,5,1,1,0,0,6,6
SHIBARWA,497,10,2,420,0,0,1,3
SIRSIYA KHALWATOLA,545,8,26,225,1,0,0,23
SONBARSA,1081,18,0,1,0,0,0,14
SREESIYA (NAU.TA.JA.),102,11,1,410,0,0,3,0
SUBARNAPUR,733,3,26,0,1,1,1,9
SUGAULI BIRTA,878,5,5,6,0,0,0,4
SUGAULI PARTEWA,1033,8,0,3,0,0,0,2
SUPAULI,572,3,0,1,0,0,0,2
SURJAHA,274,3,1,348,0,0,1,5
THORI,1371,8,7,1,28,0,0,3
TULASI BARWA,320,13,2,316,0,0,6,5
UDAYAPUR GHURMI,902,12,2,158,0,0,2,9
VAURATAR,1250,5,2,50,0,0,0,26
TOTAL,62805,1067,14970,14994,258,34,265,1123
