VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ALAU,1209,3,0,1
AMARPATTI,701,2,0,2
AURAHA,805,0,0,4
BAGAHI,918,0,0,46
BAGBANA,1232,17,9,8
BAGESHWARI TITRONA,995,2,0,0
BAHAURI PIDARI,857,0,1,0
BAHUARBAMATHA,1009,2,0,1
BASADILWA,895,2,0,6
BASANTPUR,1154,1,1,1
BELWA PARSAUNI,1352,10,1,7
BAIRIYA BIRTA (NAU.TA.JA.),780,3,1,16
BAIRIYA BIRTA (DA.PU.),908,0,0,0
BHAWANIPUR,839,7,0,1
BHEDIHARI,844,2,0,0
BHISAWA,807,20,1,1
BIJBANIYA,511,1,0,0
BINDABASINI,776,1,0,0
BIRANCHIBARWA,553,2,3,0
BIRGUNJ SUB-METROPOLITAN CITY,16254,7361,437,112
BIRWAGUTHI,2306,32,0,12
BISHRAMPUR,984,0,0,1
CHORNI,1211,0,156,3
DEUKHANA,718,0,0,1
DHAUBINI,707,2,0,0
DHORE,724,2,0,0
GADI,769,2,0,11
GAMHARIYA,598,4,0,0
GHAUDHDAUR PIPARA,487,0,0,1
GOVINDAPUR,439,2,1,1
HARIHARPUR (NAU.TA.JA.),704,1,0,4
HARIHARPUR BIRTA,402,4,0,0
HARPATAGUNJ,612,4,0,0
HARPUR,983,2,0,22
JAGARNATHPUR,1065,2,0,0
JAIMANGALAPUR,809,0,0,1
JANAKITOLA,615,1,0,0
JEETPUR,947,2,1,2
JHOUWA GUTHI,982,1,4,6
KAUWA BAN KATAIYA,624,16,1,1
LAHAWARTHAKARI,523,0,0,0
LAKHANPUR,756,0,1,0
LAL PARSA,607,3,2,4
LANGADI,522,3,0,0
LIPANI BIRTA,916,54,0,0
MADHUBAN MATHAUL,1208,2,0,36
MAHADEVPATTI,1204,2,0,1
MAHUWAN,750,6,2,3
MAINPUR (PAKAHA),477,0,0,0
MANIYARI,931,3,0,0
MASIHANI,967,1,0,0
BHIKHAMPUR,705,1,0,2
MIRJAPUR,684,1,1,4
MUDALI,822,1,0,0
NAGARDAHA,485,0,0,0
NICHUTA,1040,3,1,16
NIRMAL BASTI,2011,19,5,20
PACHARUKHI,789,1,1,1
PARSAUNI BIRTA,733,0,1,1
PRASAUNI MATHA,862,3,0,1
PIDARIGUTHI,811,0,1,5
POKHARIYA,1008,3,0,4
PRASURAMPUR,409,0,0,0
RAMGADHAWA,919,77,0,0
RAMNAGARI,509,0,1,0
SABAITHAWA,674,5,0,1
SAKHUWA PRASAUNI,1192,5,4,3
SAMJHAUTA,991,0,0,1
SHANKAR SARAIYA,726,2,1,42
SEDHAWA,592,5,8,4
SHIBARWA,930,3,0,0
SIRSIYA KHALWATOLA,828,0,0,0
SONBARSA,1109,2,1,2
SREESIYA (NAU.TA.JA.),527,0,0,0
SUBARNAPUR,759,10,1,4
SUGAULI BIRTA,895,3,0,0
SUGAULI PARTEWA,1038,5,1,2
SUPAULI,577,0,0,1
SURJAHA,625,6,0,1
THORI,1382,6,1,29
TULASI BARWA,660,2,0,0
UDAYAPUR GHURMI,1085,0,0,0
VAURATAR,1332,1,0,0
TOTAL,86655,7751,650,460
