VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ARBA VIJAYA,932,2,1,4,18,2,1,3
ARMALA,1308,0,0,12,9,7,0,0
BHACHOK,370,0,0,8,0,0,0,0
BHADAURE TAMAGI,807,0,2,57,8,1,0,0
BHARAT POKHARI,2034,2,25,201,165,34,1,6
CHAPAKOT,615,0,0,27,18,13,1,6
DANGSING,798,0,0,2,4,4,0,2
DEURALI,586,0,0,61,1,0,0,0
DHAMPUS,614,1,1,3,0,0,0,1
DHIKUR POKHARI,1814,1,4,14,36,6,1,4
DHITAL,667,0,9,84,4,0,0,3
GHACHOK,586,0,0,0,0,0,0,2
GHANDRUK,976,0,3,21,94,1,2,5
HANSAPUR,442,1,217,3,300,0,0,0
HEMJA,2810,10,59,24,111,0,0,5
KAHUN,556,0,1,4,12,0,0,1
KALIKA,958,2,25,16,14,5,1,5
KASKIKOT,1288,1,18,22,173,2,0,4
KRITINACHNE CHAUR,1085,0,27,167,55,5,0,5
LAHACHOK,816,2,1,2,2,2,0,4
LAMACHAUR,1647,2,7,25,3,1,54,6
LEKHNATH MUNICIPALITY,13448,10,510,349,490,34,39,57
LUMLE,991,1,1,4,47,2,0,10
LWANGGHALEL,1033,0,2,3,19,7,0,6
MACHHAPUCHCHHRE,389,0,0,2,0,2,0,2
MAJHTHANA,706,0,25,85,14,0,0,3
MAUJA,366,0,0,3,9,1,0,0
MIJUREDADA,867,1,3,18,8,8,0,2
NAMARJUNG,259,0,0,1,0,3,0,1
NIRMAL POKHARI,839,3,95,65,85,0,0,1
PARCHE,575,0,0,5,1,7,0,1
POKHARA SUB-METROPOLITAN CITY,64232,122,161,254,1164,250,1808,245
PUMDIBHUMDI,1808,1,4,16,7,0,1,0
PURANCHAUR,852,2,3,3,1,1,1,2
RIBHAN,359,0,0,4,1,0,0,0
RUPAKOT,467,2,0,2,254,0,0,3
SAIMARANG,306,0,0,0,0,0,0,3
SALYAN,918,2,0,0,5,0,0,1
SARANGKOT,1718,2,9,113,223,6,2,7
SARDIKHOLA,846,1,0,0,17,6,1,8
SIDDHA,659,0,5,49,92,9,0,0
SILDUJURE,485,0,0,18,39,26,2,0
THUMAKODADA,696,0,4,12,1,18,0,3
THUMKI,668,0,43,58,19,19,20,1
VALAM,626,0,1,10,4,0,0,7
TOTAL,115822,171,1266,1831,3527,482,1935,425
