VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ARBA VIJAYA,586,191,179,1,1,5
ARMALA,1010,160,164,2,0,0
BHACHOK,373,1,1,2,0,1
BHADAURE TAMAGI,736,126,5,8,0,0
BHARAT POKHARI,1996,338,95,27,2,10
CHAPAKOT,620,41,8,5,0,6
DANGSING,761,26,4,17,0,2
DEURALI,618,23,6,1,0,0
DHAMPUS,587,11,12,9,0,1
DHIKUR POKHARI,1580,202,83,6,2,7
DHITAL,732,27,3,4,0,1
GHACHOK,564,12,7,1,0,4
GHANDRUK,1030,35,2,31,0,4
HANSAPUR,937,18,4,3,0,1
HEMJA,1462,943,583,14,9,8
KAHUN,481,63,26,2,0,2
KALIKA,989,13,14,0,2,8
KASKIKOT,1283,178,38,0,1,8
KRITINACHNE CHAUR,1227,76,27,4,2,8
LAHACHOK,718,73,26,3,0,9
LAMACHAUR,716,448,544,16,1,20
LEKHNATH MUNICIPALITY,4962,5694,4100,51,30,100
LUMLE,931,55,9,49,0,12
LWANGGHALEL,1004,45,9,4,1,7
MACHHAPUCHCHHRE,376,14,0,2,1,2
MAJHTHANA,798,15,5,12,0,3
MAUJA,379,0,0,0,0,0
MIJUREDADA,865,3,0,39,0,0
NAMARJUNG,263,0,0,0,0,1
NIRMAL POKHARI,1016,40,23,7,1,1
PARCHE,582,2,0,2,0,3
POKHARA SUB-METROPOLITAN CITY,7588,31860,27669,273,365,481
PUMDIBHUMDI,1630,119,83,4,1,0
PURANCHAUR,754,84,21,2,0,4
RIBHAN,355,8,1,0,0,0
RUPAKOT,697,23,2,2,1,3
SAIMARANG,290,0,0,15,0,4
SALYAN,714,101,40,66,4,1
SARANGKOT,1098,722,211,33,9,7
SARDIKHOLA,699,137,20,13,1,9
SIDDHA,792,8,1,11,2,0
SILDUJURE,555,11,0,4,0,0
THUMAKODADA,718,1,0,11,0,4
THUMKI,816,3,1,6,1,1
VALAM,492,53,88,0,1,14
TOTAL,47380,42003,34114,762,438,762
