VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ARBA VIJAYA,801,123,1,38
ARMALA,1194,100,1,41
BHACHOK,369,4,0,5
BHADAURE TAMAGI,776,44,2,53
BHARAT POKHARI,2306,128,2,32
CHAPAKOT,626,22,0,32
DANGSING,635,118,6,51
DEURALI,590,23,2,33
DHAMPUS,532,42,0,46
DHIKUR POKHARI,1712,113,33,22
DHITAL,728,24,0,15
GHACHOK,572,9,0,7
GHANDRUK,874,131,0,97
HANSAPUR,909,43,1,10
HEMJA,2249,689,16,65
KAHUN,539,20,2,13
KALIKA,970,33,1,22
KASKIKOT,1415,79,2,12
KRITINACHNE CHAUR,1297,21,4,22
LAHACHOK,789,29,1,10
LAMACHAUR,1376,336,5,28
LEKHNATH MUNICIPALITY,11264,3368,77,228
LUMLE,847,174,1,34
LWANGGHALEL,961,67,1,41
MACHHAPUCHCHHRE,342,2,1,50
MAJHTHANA,773,41,1,18
MAUJA,332,25,0,22
MIJUREDADA,836,19,1,51
NAMARJUNG,229,3,2,30
NIRMAL POKHARI,1050,22,3,13
PARCHE,519,7,7,56
POKHARA SUB-METROPOLITAN CITY,27919,37472,1455,1390
PUMDIBHUMDI,1705,73,9,50
PURANCHAUR,805,49,1,10
RIBHAN,341,6,0,17
RUPAKOT,662,25,2,39
SAIMARANG,290,0,0,19
SALYAN,771,126,2,27
SARANGKOT,1677,350,9,44
SARDIKHOLA,655,183,2,39
SIDDHA,790,5,1,18
SILDUJURE,516,2,0,52
THUMAKODADA,654,13,1,66
THUMKI,785,8,0,35
VALAM,617,21,1,9
TOTAL,76599,44192,1656,3012
