VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ARBA VIJAYA,87,863,615,630,293,87,22,52,771,6,117,73,1,24,13
ARMALA,78,1253,975,915,169,90,50,61,1128,2,86,36,3,86,5
BHACHOK,26,340,255,119,4,1,1,8,292,0,0,0,0,1,12
BHADAURE TAMAGI,58,789,563,492,47,19,5,8,708,12,22,14,3,29,28
BHARAT POKHARI,180,2227,1559,1429,478,141,43,30,1964,7,155,118,3,93,61
CHAPAKOT,42,620,417,423,19,13,6,2,561,2,9,9,1,2,18
DANGSING,89,717,542,234,128,9,1,16,620,0,3,2,0,69,4
DEURALI,64,582,459,269,124,19,6,10,524,0,8,5,0,22,2
DHAMPUS,72,544,391,344,59,21,4,19,497,2,21,7,1,7,4
DHIKUR POKHARI,131,1714,1281,1289,161,107,60,32,1464,6,60,15,1,48,35
DHITAL,45,706,637,444,5,6,3,16,570,0,5,3,0,6,16
GHACHOK,14,552,419,487,85,27,22,16,469,4,20,3,2,11,22
GHANDRUK,143,905,678,374,110,6,7,8,737,0,0,0,1,52,54
HANSAPUR,74,888,755,383,63,3,0,5,626,1,1,1,0,0,1
HEMJA,177,2811,1649,2018,1203,380,159,61,2530,79,459,162,32,387,31
KAHUN,28,545,470,480,213,74,23,46,518,2,113,17,1,36,1
KALIKA,97,902,673,570,92,22,11,37,793,4,54,19,0,14,27
KASKIKOT,88,1361,1077,961,138,49,9,14,1141,5,59,36,2,27,59
KRITINACHNE CHAUR,97,1218,938,800,26,29,7,3,958,0,11,11,0,8,29
LAHACHOK,75,736,440,583,43,13,3,9,670,1,21,10,3,19,18
LAMACHAUR,67,1663,1174,1414,848,316,157,351,1529,48,409,170,5,510,15
LEKHNATH MUNICIPALITY,578,14141,10099,10775,5870,2094,1101,1327,12658,258,2397,1904,52,2510,218
LUMLE,95,941,715,435,187,16,8,17,700,1,16,11,1,13,20
LWANGGHALEL,118,911,695,505,83,6,0,4,723,1,5,3,0,8,41
MACHHAPUCHCHHRE,37,349,250,189,22,2,0,30,297,1,0,0,0,3,9
MAJHTHANA,62,730,587,370,72,8,7,22,665,2,10,3,0,0,41
MAUJA,58,316,209,202,2,0,0,8,265,0,1,0,0,1,5
MIJUREDADA,239,664,549,123,10,5,1,11,477,2,2,0,0,6,4
NAMARJUNG,22,217,180,26,1,0,3,4,187,0,0,0,0,0,25
NIRMAL POKHARI,80,992,855,654,21,30,20,14,907,2,13,4,0,10,16
PARCHE,37,542,462,320,210,9,4,5,430,0,0,0,0,2,10
POKHARA SUB-METROPOLITAN CITY,1460,66073,41296,45537,40948,16660,8737,17275,60491,2990,19280,10448,388,20881,703
PUMDIBHUMDI,131,1699,1324,1116,569,140,123,40,1513,14,163,69,2,103,7
PURANCHAUR,60,792,618,624,121,50,25,24,619,1,53,12,1,28,13
RIBHAN,40,321,254,190,18,2,3,0,299,0,1,3,0,0,3
RUPAKOT,71,651,523,311,22,17,3,9,575,1,14,10,0,8,6
SAIMARANG,54,254,191,135,1,1,0,6,210,0,0,0,0,1,1
SALYAN,78,816,526,384,192,20,8,68,693,21,17,5,1,14,32
SARANGKOT,73,1942,1154,1470,424,163,48,78,1791,20,232,154,13,168,65
SARDIKHOLA,112,725,430,462,95,7,0,19,608,1,37,3,4,4,42
SIDDHA,118,675,512,166,99,3,7,7,602,0,0,1,0,0,21
SILDUJURE,43,525,479,194,0,1,0,3,386,1,0,0,0,1,2
THUMAKODADA,124,601,478,238,6,0,8,2,491,0,3,0,0,1,9
THUMKI,61,761,616,113,3,1,0,26,596,2,2,4,0,5,6
VALAM,20,608,404,463,184,68,29,26,486,8,95,12,1,35,20
