VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,125673,492098,236385,255713,3.91570186117941,92.44152624231072
ARBA VIJAYA,963,3923,1782,2141,4.073727933541018,83.23213451658104
ARMALA,1336,5328,2376,2952,3.9880239520958085,80.48780487804879
BHACHOK,378,1511,697,814,3.997354497354497,85.62653562653563
BHADAURE TAMAGI,875,3257,1468,1789,3.7222857142857144,82.0570150922303
BHARAT POKHARI,2468,9806,4353,5453,3.973257698541329,79.82761782505044
CHAPAKOT,680,2637,1151,1486,3.8779411764705882,77.45625841184388
DANGSING,810,3058,1356,1702,3.775308641975309,79.67097532314924
DEURALI,648,2373,1017,1356,3.662037037037037,75
DHAMPUS,620,2537,1127,1410,4.091935483870968,79.9290780141844
DHIKUR POKHARI,1880,7318,3288,4030,3.8925531914893616,81.58808933002481
DHITAL,767,2781,1251,1530,3.6258148631029985,81.76470588235294
GHACHOK,588,2707,1287,1420,4.60374149659864,90.63380281690141
GHANDRUK,1102,4265,2054,2211,3.870235934664247,92.8991406603347
HANSAPUR,963,3635,1581,2054,3.77466251298027,76.9717624148004
HEMJA,3019,12262,5633,6629,4.06160980457105,84.97510936792881
KAHUN,574,2378,1119,1259,4.142857142857143,88.88006354249404
KALIKA,1026,3880,1745,2135,3.7816764132553606,81.73302107728337
KASKIKOT,1508,5892,2591,3301,3.907161803713528,78.4913662526507
KRITINACHNE CHAUR,1344,5063,2133,2930,3.7671130952380953,72.79863481228669
LAHACHOK,829,3129,1356,1773,3.7744270205066344,76.48054145516075
LAMACHAUR,1745,7027,3179,3848,4.026934097421203,82.61434511434511
LEKHNATH MUNICIPALITY,14937,58816,26865,31951,3.9376046060119165,84.08187537166286
LUMLE,1056,4258,1910,2348,4.03219696969697,81.3458262350937
LWANGGHALEL,1070,4211,1943,2268,3.9355140186915887,85.67019400352733
MACHHAPUCHCHHRE,395,1729,794,935,4.377215189873418,84.91978609625669
MAJHTHANA,833,2993,1254,1739,3.593037214885954,72.11040828062104
MAUJA,379,1399,633,766,3.691292875989446,82.63707571801567
MIJUREDADA,907,3787,1743,2044,4.175303197353914,85.27397260273972
NAMARJUNG,264,1104,520,584,4.181818181818182,89.04109589041096
NIRMAL POKHARI,1088,4027,1753,2274,3.7012867647058822,77.08883025505718
PARCHE,589,2418,1091,1327,4.105263157894737,82.21552373775434
POKHARA SUB-METROPOLITAN CITY,68236,255465,126238,129227,3.7438448912597457,97.68701587129624
PUMDIBHUMDI,1837,7391,3358,4033,4.023407729994556,83.26307959335483
PURANCHAUR,865,3597,1641,1956,4.158381502890173,83.8957055214724
RIBHAN,364,1332,598,734,3.659340659340659,81.47138964577657
RUPAKOT,728,2958,1277,1681,4.063186813186813,75.96668649613325
SAIMARANG,309,1171,517,654,3.7896440129449838,79.0519877675841
SALYAN,926,3541,1566,1975,3.823974082073434,79.29113924050633
SARANGKOT,2080,8354,3899,4455,4.016346153846154,87.51964085297419
SARDIKHOLA,879,3442,1614,1828,3.9158134243458473,88.29321663019694
SIDDHA,814,2982,1253,1729,3.6633906633906634,72.46963562753037
SILDUJURE,570,2494,1153,1341,4.375438596491228,85.98061148396718
THUMAKODADA,734,2765,1229,1536,3.7670299727520438,80.01302083333334
THUMKI,828,3328,1500,1828,4.019323671497585,82.05689277899344
VALAM,648,2623,1181,1442,4.047839506172839,81.9001386962552
