VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
KACHORWA,62,37,25,2171,1251,920,821,576,245,510,404,106,232,185,47,174,136,38,63,56,7,21,17,4,29,7,22,6,3,3,14,12,2
KAKADI,68,41,27,1167,671,496,467,285,182,219,145,74,233,148,85,72,43,29,20,17,3,6,6,0,5,4,1,2,0,2,0,0,0
KALAIYA MUNICIPALITY,580,346,234,10390,5702,4688,5118,3014,2104,2940,1911,1029,2860,1854,1006,2169,1459,710,1244,902,342,336,275,61,74,23,51,192,85,107,186,107,79
KARAIYA,86,51,35,1176,675,501,567,368,199,332,219,113,195,125,70,77,57,20,25,20,5,2,2,0,0,0,0,13,8,5,3,1,2
KHOPAWA,149,78,71,1080,660,420,282,185,97,116,88,28,133,95,38,53,37,16,12,12,0,5,5,0,0,0,0,1,0,1,2,2,0
KHUTWAJABDI,114,66,48,1482,872,610,475,318,157,157,114,43,147,106,41,60,46,14,18,14,4,3,1,2,1,1,0,2,2,0,4,2,2
KOLHABI,199,101,98,1621,892,729,801,457,344,562,350,212,401,260,141,182,119,63,53,40,13,16,14,2,1,1,0,1,0,1,4,2,2
KUDAWA,18,13,5,672,382,290,239,181,58,85,67,18,66,50,16,24,23,1,8,7,1,1,1,0,0,0,0,2,1,1,7,3,4
LAXMIPUR KOTWALI,73,38,35,1288,767,521,343,244,99,116,101,15,100,81,19,39,30,9,16,15,1,4,3,1,0,0,0,1,0,1,4,2,2
LIPANIMAL,83,44,39,1939,1199,740,826,597,229,297,214,83,120,97,23,65,52,13,41,34,7,8,7,1,1,0,1,4,4,0,19,14,5
MADHURIJABDI,12,4,8,794,453,341,275,175,100,243,190,53,15,12,3,74,57,17,20,20,0,4,4,0,1,0,1,0,0,0,2,1,1
MAHENDRA ADARSHA,6,5,1,972,513,459,454,315,139,210,163,47,189,145,44,99,76,23,37,32,5,10,8,2,2,2,0,2,1,1,1,1,0
MAHESHPUR,49,34,15,2196,1279,917,763,538,225,346,247,99,206,146,60,147,106,41,75,61,14,12,11,1,15,2,13,8,3,5,1,0,1
MAJHARIYA,10,4,6,1141,699,442,326,236,90,192,159,33,36,25,11,48,38,10,5,3,2,0,0,0,0,0,0,8,5,3,7,4,3
MANAHARWA,217,114,103,2366,1357,1009,1105,664,441,698,405,293,391,243,148,259,138,121,66,44,22,17,11,6,44,18,26,6,2,4,8,2,6
MATIARWA,35,19,16,1276,741,535,590,397,193,213,151,62,119,94,25,99,80,19,33,25,8,3,3,0,0,0,0,2,1,1,12,7,5
MOTISAR,138,67,71,1232,689,543,584,389,195,224,179,45,170,144,26,73,60,13,24,22,2,4,4,0,2,2,0,1,0,1,18,10,8
NARAHI,24,10,14,1021,600,421,424,275,149,189,131,58,218,166,52,95,65,30,61,46,15,13,11,2,2,1,1,9,5,4,7,3,4
NIJGADH,654,351,303,4083,2213,1870,2594,1381,1213,1560,801,759,1903,1045,858,1129,610,519,238,147,91,74,58,16,12,11,1,396,205,191,18,6,12
