VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AMARPATTI,491,2,0,15
AMLEKHGANJ,1231,89,45,5
AMRITGANG,1453,6,3,4
AMAB,922,4,0,2
BABUAIN,538,0,0,0
BACHHANPURWA,873,3,0,31
BADAKI FULBARIYA,897,1,0,6
BAGAHI,451,0,0,0
BAHUARI,643,3,0,0
BALIRAMPUR,1010,1,1,2
BAGHAWAN,752,1,1,7
BANJARIYA,835,0,0,0
BARAINIYA,734,1,0,0
BARIYARPUR,1775,9,0,1
BASATPUR,1024,3,0,0
BATARA,544,1,0,1
BELDARI,632,1,1,2
BENAULI,744,0,1,1
BHAGWANPUR,750,1,0,0
BHALUHI BHARBALIYA,987,1,0,0
BHARATGANJ SIGAUL,1067,29,0,1
BHATAUDA,906,1,2,2
BHODAHA,1013,10,2,6
BISHRAMPUR,910,1,0,1
BISHUNPUR,525,0,0,2
BISHUNPURWA,837,0,0,2
BUNIYAD,779,0,0,3
CHHATA PIPRA,947,5,30,83
CHHATAWA,768,1,0,2
DAHIYAR,1128,5,0,1
DEWAPUR,636,1,1,4
DHARMA NAGAR,768,0,0,2
DOHARI,696,1,0,3
DUMARWANA,4326,81,1,8
FATTEPUR,1491,6,3,4
GADHAHAL,540,3,1,1
GANJ BHAWANIPUR,901,6,0,3
GOLAGANJ,724,0,2,3
HARAIYA,1685,14,1,14
HARDIYA,734,1,0,4
HARIHARPUR,801,0,0,3
INARWAMAL,1065,2,0,3
INARWASIRA,1589,4,0,14
ITIYAHI,976,1,0,0
JHITAKAIYA(DAKSHIN),1175,0,2,4
JHITAKAIYA(UTTAR),962,1,0,1
JITPUR BHAWANIPUR,2987,714,15,5
KABAHIGOTH,923,1,0,3
KABAHIJABDI,615,4,26,0
KACHORWA,1612,1,1,0
KAKADI,698,1,0,1
KALAIYA MUNICIPALITY,6054,738,34,21
KARAIYA,842,0,1,0
KHOPAWA,761,1,0,2
KHUTWAJABDI,703,2,11,1
KOLHABI,1221,46,1,4
KUDAWA,557,1,0,20
LAXMIPUR KOTWALI,792,1,0,5
LIPANIMAL,1105,10,0,0
MADHURIJABDI,478,0,0,0
MAHENDRA ADARSHA,779,0,0,0
MAHESHPUR,1371,0,0,0
MAJHARIYA,657,0,0,0
MANAHARWA,1773,10,19,28
MATIARWA,897,1,3,0
MOTISAR,749,4,3,2
NARAHI,709,2,0,24
NIJGADH,3734,210,3,35
PAKADIYA CHIKANI,670,0,0,2
PAPARPATI JABDI,440,0,1,0
PATERWA,615,0,1,1
PATHARHATI,630,0,0,3
PATHERA,766,4,0,3
PHETA,1003,2,0,1
PIPARA SIMARA,4128,802,215,108
PIPARABIRTA,552,5,0,0
PIPARPATI PARCHROUWA,738,2,1,0
PIPRA BASANTAPUR,669,3,10,8
PIPRADHI GOTH,697,1,0,0
PRASAUNI,1223,8,1,0
PRASAUNA,714,3,0,1
PRASTOKA,1370,8,4,2
PRASURAMPUR,950,0,0,3
PURAINIYA,849,1,0,4
RAGHUNATHPUR,721,0,0,0
RAMPUR TOKANI,894,20,73,57
RAMPURWA,828,0,0,0
RATANPURI,2058,19,0,6
RAUWAHI,519,0,0,2
SAPAHI,1790,17,4,27
SHREENAGAR BAIRIYA,678,0,0,0
SIHORWA,697,0,0,1
SINHASANI,809,0,1,42
SISAHANIYA,480,0,0,0
TEDHAKATTI,675,1,17,3
TELKUWA,805,3,1,3
TETARIYA,529,0,2,1
UCHIDIHA,664,5,0,39
UMARJAN,939,4,6,23
TOTAL,104352,2955,551,742
