VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AMARPATTI,6,489,2,4,1,0,5,1
AMLEKHGANJ,1102,0,0,65,57,86,36,24
AMRITGANG,27,1421,1,4,4,1,4,4
AMAB,3,885,0,40,0,0,0,0
BABUAIN,2,514,1,10,0,0,0,11
BACHHANPURWA,4,872,1,0,0,0,29,1
BADAKI FULBARIYA,4,868,4,4,0,0,0,24
BAGAHI,3,430,1,1,0,0,4,12
BAHUARI,6,631,1,0,0,0,0,8
BALIRAMPUR,226,727,16,19,7,0,15,4
BAGHAWAN,1,754,0,0,0,0,0,6
BANJARIYA,3,664,1,1,0,1,87,78
BARAINIYA,15,678,0,31,0,0,0,11
BARIYARPUR,35,1623,4,36,0,0,81,6
BASATPUR,5,1007,1,5,0,0,0,9
BATARA,212,319,7,1,2,0,3,2
BELDARI,1,547,1,10,1,0,69,7
BENAULI,7,722,1,0,0,0,2,14
BHAGWANPUR,3,739,1,1,0,0,0,7
BHALUHI BHARBALIYA,34,949,0,0,0,0,0,5
BHARATGANJ SIGAUL,994,0,2,55,32,1,0,13
BHATAUDA,11,828,0,0,1,0,48,23
BHODAHA,7,1013,3,0,0,0,0,8
BISHRAMPUR,2,897,0,3,1,0,0,9
BISHUNPUR,0,476,1,0,1,0,43,6
BISHUNPURWA,5,781,14,26,2,0,0,11
BUNIYAD,40,717,3,0,0,0,3,19
CHHATA PIPRA,61,999,3,1,0,0,0,1
CHHATAWA,3,752,0,14,0,1,0,1
DAHIYAR,3,1128,1,0,0,0,0,2
DEWAPUR,4,624,1,1,1,0,0,11
DHARMA NAGAR,4,741,9,2,1,0,1,12
DOHARI,5,683,1,2,0,0,0,9
DUMARWANA,286,4038,2,30,4,2,24,30
FATTEPUR,368,1115,0,12,0,0,0,9
GADHAHAL,373,168,1,1,0,0,0,2
GANJ BHAWANIPUR,349,465,1,2,0,0,58,35
GOLAGANJ,4,712,0,0,0,0,0,13
HARAIYA,198,1479,3,0,0,0,26,8
HARDIYA,123,609,0,1,1,0,0,5
HARIHARPUR,12,759,1,16,0,0,11,5
INARWAMAL,2,1067,0,0,0,0,1,0
INARWASIRA,6,1593,2,0,1,0,0,5
ITIYAHI,6,955,2,5,0,0,0,9
JHITAKAIYA(DAKSHIN),6,1081,0,1,1,0,0,92
JHITAKAIYA(UTTAR),215,744,0,1,0,0,0,4
JITPUR BHAWANIPUR,304,3342,3,19,1,3,25,24
KABAHIGOTH,32,856,7,5,1,0,0,26
KABAHIJABDI,9,631,1,0,0,0,0,4
KACHORWA,39,1527,7,33,0,0,0,8
KAKADI,14,680,1,0,0,0,0,5
KALAIYA MUNICIPALITY,1170,5337,23,20,24,0,135,138
KARAIYA,202,626,0,0,0,1,0,14
KHOPAWA,15,742,0,0,0,4,0,3
KHUTWAJABDI,2,707,1,0,0,0,0,7
KOLHABI,9,1171,10,68,1,1,1,11
KUDAWA,2,568,0,0,0,0,0,8
LAXMIPUR KOTWALI,2,766,2,24,0,0,0,4
LIPANIMAL,281,765,1,0,1,1,61,5
MADHURIJABDI,12,461,0,1,0,0,0,4
MAHENDRA ADARSHA,0,589,0,6,1,0,180,3
MAHESHPUR,13,1328,1,16,1,0,4,8
MAJHARIYA,3,640,8,1,1,0,0,4
MANAHARWA,26,1788,1,2,2,0,2,9
MATIARWA,232,667,0,0,0,0,1,1
MOTISAR,73,671,0,0,0,0,5,9
NARAHI,102,591,1,3,2,0,14,22
NIJGADH,3886,3,2,2,45,9,16,19
PAKADIYA CHIKANI,161,456,1,1,0,0,46,7
PAPARPATI JABDI,5,430,1,2,0,0,0,3
PATERWA,13,593,0,0,1,0,0,10
PATHARHATI,222,402,0,4,1,0,2,2
PATHERA,5,767,0,1,0,0,0,0
PHETA,7,980,3,7,5,0,0,4
PIPARA SIMARA,3674,1427,5,12,5,0,61,69
PIPARABIRTA,250,300,0,0,0,0,5,2
PIPARPATI PARCHROUWA,9,610,1,98,0,0,20,3
PIPRA BASANTAPUR,5,667,2,11,0,2,0,3
PIPRADHI GOTH,6,673,2,10,1,1,0,5
PRASAUNI,10,1087,0,4,0,0,127,4
PRASAUNA,7,709,0,0,1,0,0,1
PRASTOKA,427,937,2,0,0,0,2,16
PRASURAMPUR,9,935,1,3,0,0,0,5
PURAINIYA,34,813,0,0,0,0,0,7
RAGHUNATHPUR,3,716,1,0,1,0,0,0
RAMPUR TOKANI,271,768,1,0,0,0,0,4
RAMPURWA,554,273,0,0,0,0,0,1
RATANPURI,1567,23,65,320,42,59,0,7
RAUWAHI,2,482,0,0,1,0,28,8
SAPAHI,12,1796,3,0,1,0,0,26
SHREENAGAR BAIRIYA,121,543,3,2,0,1,4,4
SIHORWA,3,692,1,0,0,0,1,1
SINHASANI,3,782,26,37,1,0,0,3
SISAHANIYA,5,459,0,16,0,0,0,0
TEDHAKATTI,2,689,0,1,0,0,0,4
TELKUWA,3,781,2,4,0,0,0,22
TETARIYA,14,512,0,6,0,0,0,0
UCHIDIHA,10,697,0,0,0,0,0,1
UMARJAN,5,953,2,5,0,0,0,7
TOTAL,18633,85671,284,1149,258,174,1290,1141
