VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BHORLE,1043,125,0,0,8,8
BRIDHIM,93,3,0,54,11,0
CHILIME,126,35,0,71,108,0
DANDAGOUN,244,98,0,61,75,1
DHUNCHE,669,25,0,2,12,6
GATLANG,196,35,0,35,132,2
GOLJUNG,216,31,0,11,11,0
HAKU,4,72,0,253,114,0
DHAIBUNG,1036,49,0,0,15,9
LAHAREPOUWA,1003,38,0,0,7,5
LANGTANG,123,5,0,24,0,0
RAMCHE,408,76,0,0,2,3
SARAMTHALI,432,252,0,23,112,2
SYAFRU,575,34,0,7,5,0
THULOGOUN,277,31,0,0,9,0
THUMAN,3,96,0,61,79,0
TIMURE,120,3,0,5,2,0
YARSA,393,140,0,13,274,0
TOTAL,6961,1148,0,620,976,36
