VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BHORLE,1152,17,2,0,0,0,13
BRIDHIM,140,13,1,7,0,0,0
CHILIME,312,8,8,10,0,1,1
DANDAGOUN,441,28,2,1,1,1,5
DHUNCHE,397,288,13,4,0,1,11
GATLANG,381,1,13,0,0,0,5
GOLJUNG,229,9,25,5,0,0,1
HAKU,432,2,6,0,0,0,3
DHAIBUNG,891,182,19,0,0,3,14
LAHAREPOUWA,914,129,2,1,0,0,7
LANGTANG,132,6,14,0,0,0,0
RAMCHE,471,13,1,0,0,0,4
SARAMTHALI,803,13,1,0,0,0,4
SYAFRU,314,221,75,9,0,2,0
THULOGOUN,312,0,1,0,0,4,0
THUMAN,214,3,10,2,8,2,0
TIMURE,115,8,7,0,0,0,0
YARSA,803,13,2,0,0,0,2
TOTAL,8453,954,202,39,9,14,70
